"Composition or Attribute/Name";"Composition or Attribute/Occurrence";"Composition or Attribute/XPath";"Notes/EnhancedDefinition";"Class, data type of a composition or attribute/Name";"Class, data type of a composition or attribute/Codes";"Class, data type of a composition or attribute/Pattern";"Class, data type of a composition or attribute/TotalDigits";"Class, data type of a composition or attribute/FractionDigits";"Class, data type of a composition or attribute/MaxLength"
"Currency";"1..1";"OBReadTransaction4/Data/Transaction/Amount/Currency";"A code allocated to a currency by a Maintenance Agency under an international identification scheme, as described in the latest edition of the international standard ISO 4217 ""Codes for the representation of currencies and funds"".";"ActiveOrHistoricCurrencyCode";"";"^[A-Z]{3,3}$";"";"";""
"ChargeAmount";"0..1";"OBReadTransaction4/Data/Transaction/ChargeAmount";"Transaction charges to be paid by the charge bearer.";"OBActiveOrHistoricCurrencyAndAmount";"";"";"";"";""
"Amount";"1..1";"OBReadTransaction4/Data/Transaction/ChargeAmount/Amount";"A number of monetary units specified in an active currency where the unit of currency is explicit and compliant with ISO 4217.";"OBActiveCurrencyAndAmount_SimpleType";"";"^\d{1,13}\.\d{1,5}$";"";"";""
"Currency";"1..1";"OBReadTransaction4/Data/Transaction/ChargeAmount/Currency";"A code allocated to a currency by a Maintenance Agency under an international identification scheme, as described in the latest edition of the international standard ISO 4217 ""Codes for the representation of currencies and funds"".";"ActiveOrHistoricCurrencyCode";"";"^[A-Z]{3,3}$";"";"";""
"CurrencyExchange";"0..1";"OBReadTransaction4/Data/Transaction/CurrencyExchange";"Set of elements used to provide details on the currency exchange.";"OBCurrencyExchange5";"";"";"";"";""
"SourceCurrency";"1..1";"OBReadTransaction4/Data/Transaction/CurrencyExchange/SourceCurrency";"Currency from which an amount is to be converted in a currency conversion.";"ActiveOrHistoricCurrencyCode";"";"^[A-Z]{3,3}$";"";"";""
"TargetCurrency";"0..1";"OBReadTransaction4/Data/Transaction/CurrencyExchange/TargetCurrency";"Currency into which an amount is to be converted in a currency conversion.";"ActiveOrHistoricCurrencyCode";"";"^[A-Z]{3,3}$";"";"";""
"UnitCurrency";"0..1";"OBReadTransaction4/Data/Transaction/CurrencyExchange/UnitCurrency";"Currency in which the rate of exchange is expressed in a currency exchange. In the example 1GBP = xxxCUR, the unit currency is GBP.";"ActiveOrHistoricCurrencyCode";"";"^[A-Z]{3,3}$";"";"";""
"ExchangeRate";"1..1";"OBReadTransaction4/Data/Transaction/CurrencyExchange/ExchangeRate";"Factor used to convert an amount from one currency into another. This reflects the price at which one currency was bought with another currency.

Usage: ExchangeRate expresses the ratio between UnitCurrency and QuotedCurrency (ExchangeRate = UnitCurrency/QuotedCurrency).";"BaseOneRate";"";"";"11";"10";""
"ContractIdentification";"0..1";"OBReadTransaction4/Data/Transaction/CurrencyExchange/ContractIdentification";"Unique identification to unambiguously identify the foreign exchange contract.";"Max35Text";"";"";"";"";"35"
"QuotationDate";"0..1";"OBReadTransaction4/Data/Transaction/CurrencyExchange/QuotationDate";"Date and time at which an exchange rate is quoted.";"ISODateTime";"";"";"";"";""
"InstructedAmount";"0..1";"OBReadTransaction4/Data/Transaction/CurrencyExchange/InstructedAmount";"Amount of money to be moved between the debtor and creditor, before deduction of charges, expressed in the currency as ordered by the initiating party.";"OBActiveOrHistoricCurrencyAndAmount";"";"";"";"";""
"Amount";"1..1";"OBReadTransaction4/Data/Transaction/CurrencyExchange/InstructedAmount/Amount";"A number of monetary units specified in an active currency where the unit of currency is explicit and compliant with ISO 4217.";"OBActiveCurrencyAndAmount_SimpleType";"";"^\d{1,13}\.\d{1,5}$";"";"";""
"Currency";"1..1";"OBReadTransaction4/Data/Transaction/CurrencyExchange/InstructedAmount/Currency";"A code allocated to a currency by a Maintenance Agency under an international identification scheme, as described in the latest edition of the international standard ISO 4217 ""Codes for the representation of currencies and funds"".";"ActiveOrHistoricCurrencyCode";"";"^[A-Z]{3,3}$";"";"";""
"BankTransactionCode";"0..1";"OBReadTransaction4/Data/Transaction/BankTransactionCode";"Set of elements used to fully identify the type of underlying transaction resulting in an entry.";"OBBankTransactionCodeStructure1";"";"";"";"";""
"Code";"1..1";"OBReadTransaction4/Data/Transaction/BankTransactionCode/Code";"Specifies the family within a domain.";"ExternalBankTransactionFamily1Code";"";"";"";"";"4"
"SubCode";"1..1";"OBReadTransaction4/Data/Transaction/BankTransactionCode/SubCode";"Specifies the sub-product family within a specific family.";"ExternalBankTransactionSubFamily1Code";"";"";"";"";"4"
"ProprietaryBankTransactionCode";"0..1";"OBReadTransaction4/Data/Transaction/ProprietaryBankTransactionCode";"Set of elements to fully identify a proprietary bank transaction code.";"ProprietaryBankTransactionCodeStructure1";"";"";"";"";""
"Code";"1..1";"OBReadTransaction4/Data/Transaction/ProprietaryBankTransactionCode/Code";"Proprietary bank transaction code to identify the underlying transaction.";"Max35Text";"";"";"";"";"35"
"Issuer";"0..1";"OBReadTransaction4/Data/Transaction/ProprietaryBankTransactionCode/Issuer";"Identification of the issuer of the proprietary bank transaction code.";"Max35Text";"";"";"";"";"35"
"Balance";"0..1";"OBReadTransaction4/Data/Transaction/Balance";"Set of elements used to define the balance as a numerical representation of the net increases and decreases in an account after a transaction entry is applied to the account.";"OBTransactionCashBalance";"";"";"";"";""
"CreditDebitIndicator";"1..1";"OBReadTransaction4/Data/Transaction/Balance/CreditDebitIndicator";"Indicates whether the balance is a credit or a debit balance. 
Usage: A zero balance is considered to be a credit balance.";"OBCreditDebitCode";"Credit
Debit";"";"";"";""
"Type";"1..1";"OBReadTransaction4/Data/Transaction/Balance/Type";"Balance type, in a coded form.";"OBBalanceType1Code";"ClosingAvailable
ClosingBooked
ClosingCleared
Expected
ForwardAvailable
Information
InterimAvailable
InterimBooked
InterimCleared
OpeningAvailable
OpeningBooked
OpeningCleared
PreviouslyClosedBooked";"";"";"";""
"Amount";"1..1";"OBReadTransaction4/Data/Transaction/Balance/Amount";"Amount of money of the cash balance after a transaction entry is applied to the account..";"OBActiveOrHistoricCurrencyAndAmount";"";"";"";"";""
"Amount";"1..1";"OBReadTransaction4/Data/Transaction/Balance/Amount/Amount";"A number of monetary units specified in an active currency where the unit of currency is explicit and compliant with ISO 4217.";"OBActiveCurrencyAndAmount_SimpleType";"";"^\d{1,13}\.\d{1,5}$";"";"";""
"Currency";"1..1";"OBReadTransaction4/Data/Transaction/Balance/Amount/Currency";"A code allocated to a currency by a Maintenance Agency under an international identification scheme, as described in the latest edition of the international standard ISO 4217 ""Codes for the representation of currencies and funds"".";"ActiveOrHistoricCurrencyCode";"";"^[A-Z]{3,3}$";"";"";""
"MerchantDetails";"0..1";"OBReadTransaction4/Data/Transaction/MerchantDetails";"Details of the merchant involved in the transaction.";"OBMerchantDetails1";"";"";"";"";""
"MerchantName";"0..1";"OBReadTransaction4/Data/Transaction/MerchantDetails/MerchantName";"Name by which the merchant is known.";"Max350Text";"";"";"";"";"350"
"MerchantCategoryCode";"0..1";"OBReadTransaction4/Data/Transaction/MerchantDetails/MerchantCategoryCode";"Category code conform to ISO 18245, related to the type of services or goods the merchant provides for the transaction.";"Min3Max4Text";"";"";"";"";"4"
"CreditorAgent";"0..1";"OBReadTransaction4/Data/Transaction/CreditorAgent";"Financial institution servicing an account for the creditor.";"OBBranchAndFinancialInstitutionIdentification6";"";"";"";"";""
"SchemeName";"0..1";"OBReadTransaction4/Data/Transaction/CreditorAgent/SchemeName";"Name of the identification scheme, in a coded form as published in an external list.";"OBExternalFinancialInstitutionIdentification4Code";" UK.OBIE.BICFI";"";"";"";"40"
"Identification";"0..1";"OBReadTransaction4/Data/Transaction/CreditorAgent/Identification";"Unique and unambiguous identification of a financial institution or a branch of a financial institution.";"Max35Text";"";"";"";"";"35"
"Name";"0..1";"OBReadTransaction4/Data/Transaction/CreditorAgent/Name";"Name by which an agent is known and which is usually used to identify that agent.";"Max140Text";"";"";"";"";"140"
"PostalAddress";"0..1";"OBReadTransaction4/Data/Transaction/CreditorAgent/PostalAddress";"Information that locates and identifies a specific address, as defined by postal services.";"OBPostalAddress6";"";"";"";"";""
"AddressType";"0..1";"OBReadTransaction4/Data/Transaction/CreditorAgent/PostalAddress/AddressType";"Identifies the nature of the postal address.";"OBAddressTypeCode";"Business
Correspondence
DeliveryTo
MailTo
POBox
Postal
Residential
Statement";"";"";"";""
"Department";"0..1";"OBReadTransaction4/Data/Transaction/CreditorAgent/PostalAddress/Department";"Identification of a division of a large organisation or building.";"Max70Text";"";"";"";"";"70"
"SubDepartment";"0..1";"OBReadTransaction4/Data/Transaction/CreditorAgent/PostalAddress/SubDepartment";"Identification of a sub-division of a large organisation or building.";"Max70Text";"";"";"";"";"70"
"StreetName";"0..1";"OBReadTransaction4/Data/Transaction/CreditorAgent/PostalAddress/StreetName";"Name of a street or thoroughfare.";"Max70Text";"";"";"";"";"70"
"BuildingNumber";"0..1";"OBReadTransaction4/Data/Transaction/CreditorAgent/PostalAddress/BuildingNumber";"Number that identifies the position of a building on a street.";"Max16Text";"";"";"";"";"16"
"PostCode";"0..1";"OBReadTransaction4/Data/Transaction/CreditorAgent/PostalAddress/PostCode";"Identifier consisting of a group of letters and/or numbers that is added to a postal address to assist the sorting of mail.";"Max16Text";"";"";"";"";"16"
"TownName";"0..1";"OBReadTransaction4/Data/Transaction/CreditorAgent/PostalAddress/TownName";"Name of a built-up area, with defined boundaries, and a local government.";"Max35Text";"";"";"";"";"35"
"CountrySubDivision";"0..1";"OBReadTransaction4/Data/Transaction/CreditorAgent/PostalAddress/CountrySubDivision";"Identifies a subdivision of a country such as state, region, county.";"Max35Text";"";"";"";"";"35"
"Country";"0..1";"OBReadTransaction4/Data/Transaction/CreditorAgent/PostalAddress/Country";"Nation with its own government.";"CountryCode";"";"^[A-Z]{2,2}$";"";"";""
"AddressLine";"0..7";"OBReadTransaction4/Data/Transaction/CreditorAgent/PostalAddress/AddressLine";"Information that locates and identifies a specific address, as defined by postal services, presented in free format text.";"Max70Text";"";"";"";"";"70"
"CreditorAccount";"0..1";"OBReadTransaction4/Data/Transaction/CreditorAccount";"Unambiguous identification of the account of the creditor, in the case of a debit transaction.";"OBCashAccount6";"";"";"";"";""
"SchemeName";"0..1";"OBReadTransaction4/Data/Transaction/CreditorAccount/SchemeName";"Name of the identification scheme, in a coded form as published in an external list.";"OBExternalAccountIdentification4Code";"UK.OBIE.BBAN
UK.OBIE.IBAN
UK.OBIE.PAN
UK.OBIE.Paym
UK.OBIE.SortCodeAccountNumber";"";"";"";"40"
"Identification";"0..1";"OBReadTransaction4/Data/Transaction/CreditorAccount/Identification";"Identification assigned by an institution to identify an account. This identification is known by the account owner.";"Max256Text";"";"";"";"";"256"
"Name";"0..1";"OBReadTransaction4/Data/Transaction/CreditorAccount/Name";"Name of the account, as assigned by the account servicing institution.

Usage: The account name is the name or names of the account owner(s) represented at an account level. The account name is not the product name or the nickname of the account.";"Max70Text";"";"";"";"";"70"
"SecondaryIdentification";"0..1";"OBReadTransaction4/Data/Transaction/CreditorAccount/SecondaryIdentification";"This is secondary identification of the account, as assigned by the account servicing institution. 
This can be used by building societies to additionally identify accounts with a roll number (in addition to a sort code and account number combination).";"Max34Text";"";"";"";"";"34"
"DebtorAgent";"0..1";"OBReadTransaction4/Data/Transaction/DebtorAgent";"Financial institution servicing an account for the debtor.";"OBBranchAndFinancialInstitutionIdentification6";"";"";"";"";""
"SchemeName";"0..1";"OBReadTransaction4/Data/Transaction/DebtorAgent/SchemeName";"Name of the identification scheme, in a coded form as published in an external list.";"OBExternalFinancialInstitutionIdentification4Code";" UK.OBIE.BICFI";"";"";"";"40"
"Identification";"0..1";"OBReadTransaction4/Data/Transaction/DebtorAgent/Identification";"Unique and unambiguous identification of a financial institution or a branch of a financial institution.";"Max35Text";"";"";"";"";"35"
"Name";"0..1";"OBReadTransaction4/Data/Transaction/DebtorAgent/Name";"Name by which an agent is known and which is usually used to identify that agent.";"Max140Text";"";"";"";"";"140"
"PostalAddress";"0..1";"OBReadTransaction4/Data/Transaction/DebtorAgent/PostalAddress";"Information that locates and identifies a specific address, as defined by postal services.";"OBPostalAddress6";"";"";"";"";""
"AddressType";"0..1";"OBReadTransaction4/Data/Transaction/DebtorAgent/PostalAddress/AddressType";"Identifies the nature of the postal address.";"OBAddressTypeCode";"Business
Correspondence
DeliveryTo
MailTo
POBox
Postal
Residential
Statement";"";"";"";""
"Department";"0..1";"OBReadTransaction4/Data/Transaction/DebtorAgent/PostalAddress/Department";"Identification of a division of a large organisation or building.";"Max70Text";"";"";"";"";"70"
"SubDepartment";"0..1";"OBReadTransaction4/Data/Transaction/DebtorAgent/PostalAddress/SubDepartment";"Identification of a sub-division of a large organisation or building.";"Max70Text";"";"";"";"";"70"
"StreetName";"0..1";"OBReadTransaction4/Data/Transaction/DebtorAgent/PostalAddress/StreetName";"Name of a street or thoroughfare.";"Max70Text";"";"";"";"";"70"
"BuildingNumber";"0..1";"OBReadTransaction4/Data/Transaction/DebtorAgent/PostalAddress/BuildingNumber";"Number that identifies the position of a building on a street.";"Max16Text";"";"";"";"";"16"
"PostCode";"0..1";"OBReadTransaction4/Data/Transaction/DebtorAgent/PostalAddress/PostCode";"Identifier consisting of a group of letters and/or numbers that is added to a postal address to assist the sorting of mail.";"Max16Text";"";"";"";"";"16"
"TownName";"0..1";"OBReadTransaction4/Data/Transaction/DebtorAgent/PostalAddress/TownName";"Name of a built-up area, with defined boundaries, and a local government.";"Max35Text";"";"";"";"";"35"
"CountrySubDivision";"0..1";"OBReadTransaction4/Data/Transaction/DebtorAgent/PostalAddress/CountrySubDivision";"Identifies a subdivision of a country such as state, region, county.";"Max35Text";"";"";"";"";"35"
"Country";"0..1";"OBReadTransaction4/Data/Transaction/DebtorAgent/PostalAddress/Country";"Nation with its own government.";"CountryCode";"";"^[A-Z]{2,2}$";"";"";""
"AddressLine";"0..7";"OBReadTransaction4/Data/Transaction/DebtorAgent/PostalAddress/AddressLine";"Information that locates and identifies a specific address, as defined by postal services, presented in free format text.";"Max70Text";"";"";"";"";"70"
"DebtorAccount";"0..1";"OBReadTransaction4/Data/Transaction/DebtorAccount";"Unambiguous identification of the account of the debtor, in the case of a crebit transaction.";"OBCashAccount6";"";"";"";"";""
"SchemeName";"0..1";"OBReadTransaction4/Data/Transaction/DebtorAccount/SchemeName";"Name of the identification scheme, in a coded form as published in an external list.";"OBExternalAccountIdentification4Code";"UK.OBIE.BBAN
UK.OBIE.IBAN
UK.OBIE.PAN
UK.OBIE.Paym
UK.OBIE.SortCodeAccountNumber";"";"";"";"40"
"Identification";"0..1";"OBReadTransaction4/Data/Transaction/DebtorAccount/Identification";"Identification assigned by an institution to identify an account. This identification is known by the account owner.";"Max256Text";"";"";"";"";"256"
"Name";"0..1";"OBReadTransaction4/Data/Transaction/DebtorAccount/Name";"Name of the account, as assigned by the account servicing institution.

Usage: The account name is the name or names of the account owner(s) represented at an account level. The account name is not the product name or the nickname of the account.";"Max70Text";"";"";"";"";"70"
"SecondaryIdentification";"0..1";"OBReadTransaction4/Data/Transaction/DebtorAccount/SecondaryIdentification";"This is secondary identification of the account, as assigned by the account servicing institution. 
This can be used by building societies to additionally identify accounts with a roll number (in addition to a sort code and account number combination).";"Max34Text";"";"";"";"";"34"
"CardInstrument";"0..1";"OBReadTransaction4/Data/Transaction/CardInstrument";"Set of elements to describe the card instrument used in the transaction.";"OBTransactionCardInstrument1";"";"";"";"";""
"CardSchemeName";"1..1";"OBReadTransaction4/Data/Transaction/CardInstrument/CardSchemeName";"Name of the card scheme.";"OBExternalCardSchemeType1Code";"AmericanExpress
Diners
Discover
MasterCard
VISA";"";"";"";"4"
"AuthorisationType";"0..1";"OBReadTransaction4/Data/Transaction/CardInstrument/AuthorisationType";"The card authorisation type.";"OBExternalCardAuthorisationType1Code";"ConsumerDevice
Contactless
None
PIN";"";"";"";"4"
"Name";"0..1";"OBReadTransaction4/Data/Transaction/CardInstrument/Name";"Name of the cardholder using the card instrument.";"Max70Text";"";"";"";"";"70"
"Identification";"0..1";"OBReadTransaction4/Data/Transaction/CardInstrument/Identification";"Identification assigned by an institution to identify the card instrument used in the transaction. This identification is known by the account owner, and may be masked.";"Max34Text";"";"";"";"";"34"
"SupplementaryData";"0..1";"OBReadTransaction4/Data/Transaction/SupplementaryData";"Additional information that can not be captured in the structured fields and/or any other specific block.";"OBSupplementaryData1";"";"";"";"";""
