"Composition or Attribute/Name";"Composition or Attribute/Occurrence";"Composition or Attribute/XPath";"Notes/EnhancedDefinition";"Class, data type of a composition or attribute/Name";"Class, data type of a composition or attribute/Codes";"Class, data type of a composition or attribute/Pattern";"Class, data type of a composition or attribute/TotalDigits";"Class, data type of a composition or attribute/FractionDigits";"Class, data type of a composition or attribute/MaxLength"
"Amount";"1..1";"OBReadBalance1/Data/Balance/Amount/Amount";"A number of monetary units specified in an active currency where the unit of currency is explicit and compliant with ISO 4217.";"OBActiveCurrencyAndAmount_SimpleType";"";"^\d{1,13}\.\d{1,5}$";"";"";""
"Currency";"1..1";"OBReadBalance1/Data/Balance/Amount/Currency";"A code allocated to a currency by a Maintenance Agency under an international identification scheme, as described in the latest edition of the international standard ISO 4217 ""Codes for the representation of currencies and funds"".";"ActiveOrHistoricCurrencyCode";"";"^[A-Z]{3,3}$";"";"";""
"CreditLine";"0..n";"OBReadBalance1/Data/Balance/CreditLine";"Set of elements used to provide details on the credit line.";"OBCreditLine1";"";"";"";"";""
"Included";"1..1";"OBReadBalance1/Data/Balance/CreditLine/Included";"Indicates whether or not the credit line is included in the balance of the account.

Usage: If not present, credit line is not included in the balance amount of the account.";"xs:boolean";"";"";"";"";""
"Type";"0..1";"OBReadBalance1/Data/Balance/CreditLine/Type";"Limit type, in a coded form.";"OBExternalLimitType1Code";"Available
Credit
Emergency
Pre-Agreed
Temporary";"";"";"";"35"
"Amount";"0..1";"OBReadBalance1/Data/Balance/CreditLine/Amount";"Amount of money of the credit line.";"OBActiveOrHistoricCurrencyAndAmount";"";"";"";"";""
"Amount";"1..1";"OBReadBalance1/Data/Balance/CreditLine/Amount/Amount";"A number of monetary units specified in an active currency where the unit of currency is explicit and compliant with ISO 4217.";"OBActiveCurrencyAndAmount_SimpleType";"";"^\d{1,13}\.\d{1,5}$";"";"";""
"Currency";"1..1";"OBReadBalance1/Data/Balance/CreditLine/Amount/Currency";"A code allocated to a currency by a Maintenance Agency under an international identification scheme, as described in the latest edition of the international standard ISO 4217 ""Codes for the representation of currencies and funds"".";"ActiveOrHistoricCurrencyCode";"";"^[A-Z]{3,3}$";"";"";""
"OBReadBeneficiary3";"";"OBReadBeneficiary3";"";"OBReadBeneficiary3";"";"";"";"";""
"Data";"1..1";"OBReadBeneficiary3/Data";"";"OBReadDataBeneficiary3";"";"";"";"";""
"Beneficiary";"0..n";"OBReadBeneficiary3/Data/Beneficiary";"";"OBBeneficiary3";"";"";"";"";""
"AccountId";"0..1";"OBReadBeneficiary3/Data/Beneficiary/AccountId";"A unique and immutable identifier used to identify the account resource. This identifier has no meaning to the account owner.";"Max40Text";"";"";"";"";"40"
"BeneficiaryId";"0..1";"OBReadBeneficiary3/Data/Beneficiary/BeneficiaryId";"A unique and immutable identifier used to identify the beneficiary resource. This identifier has no meaning to the account owner.";"Max40Text";"";"";"";"";"40"
"Reference";"0..1";"OBReadBeneficiary3/Data/Beneficiary/Reference";"Unique reference, as assigned by the creditor, to unambiguously refer to the payment transaction.

Usage: If available, the initiating party should provide this reference in the structured remittance information, to enable reconciliation by the creditor upon receipt of the amount of money.

If the business context requires the use of a creditor reference or a payment remit identification, and only one identifier can be passed through the end-to-end chain, the creditor's reference or payment remittance identification should be quoted in the end-to-end transaction identification.";"Max35Text";"";"";"";"";"35"
"CreditorAgent";"0..1";"OBReadBeneficiary3/Data/Beneficiary/CreditorAgent";"Party that manages the account on behalf of the account owner, that is manages the registration and booking of entries on the account, calculates balances on the account and provides information about the account.
This is the servicer of the beneficiary account.";"OBBranchAndFinancialInstitutionIdentification6";"";"";"";"";""
"SchemeName";"0..1";"OBReadBeneficiary3/Data/Beneficiary/CreditorAgent/SchemeName";"Name of the identification scheme, in a coded form as published in an external list.";"OBExternalFinancialInstitutionIdentification4Code";"UK.OBIE.BICFI";"";"";"";"40"
"Identification";"0..1";"OBReadBeneficiary3/Data/Beneficiary/CreditorAgent/Identification";"Unique and unambiguous identification of the servicing institution.";"Max35Text";"";"";"";"";"35"
"Name";"0..1";"OBReadBeneficiary3/Data/Beneficiary/CreditorAgent/Name";"Name by which an agent is known and which is usually used to identify that agent.";"Max140Text";"";"";"";"";"140"
"PostalAddress";"0..1";"OBReadBeneficiary3/Data/Beneficiary/CreditorAgent/PostalAddress";"Information that locates and identifies a specific address, as defined by postal services.";"OBPostalAddress6";"";"";"";"";""
"AddressType";"0..1";"OBReadBeneficiary3/Data/Beneficiary/CreditorAgent/PostalAddress/AddressType";"Identifies the nature of the postal address.";"OBAddressTypeCode";"Business
Correspondence
DeliveryTo
MailTo
POBox
Postal
Residential
Statement";"";"";"";""
"Department";"0..1";"OBReadBeneficiary3/Data/Beneficiary/CreditorAgent/PostalAddress/Department";"Identification of a division of a large organisation or building.";"Max70Text";"";"";"";"";"70"
"SubDepartment";"0..1";"OBReadBeneficiary3/Data/Beneficiary/CreditorAgent/PostalAddress/SubDepartment";"Identification of a sub-division of a large organisation or building.";"Max70Text";"";"";"";"";"70"
"StreetName";"0..1";"OBReadBeneficiary3/Data/Beneficiary/CreditorAgent/PostalAddress/StreetName";"Name of a street or thoroughfare.";"Max70Text";"";"";"";"";"70"
"BuildingNumber";"0..1";"OBReadBeneficiary3/Data/Beneficiary/CreditorAgent/PostalAddress/BuildingNumber";"Number that identifies the position of a building on a street.";"Max16Text";"";"";"";"";"16"
"PostCode";"0..1";"OBReadBeneficiary3/Data/Beneficiary/CreditorAgent/PostalAddress/PostCode";"Identifier consisting of a group of letters and/or numbers that is added to a postal address to assist the sorting of mail.";"Max16Text";"";"";"";"";"16"
"TownName";"0..1";"OBReadBeneficiary3/Data/Beneficiary/CreditorAgent/PostalAddress/TownName";"Name of a built-up area, with defined boundaries, and a local government.";"Max35Text";"";"";"";"";"35"
"CountrySubDivision";"0..1";"OBReadBeneficiary3/Data/Beneficiary/CreditorAgent/PostalAddress/CountrySubDivision";"Identifies a subdivision of a country such as state, region, county.";"Max35Text";"";"";"";"";"35"
"Country";"0..1";"OBReadBeneficiary3/Data/Beneficiary/CreditorAgent/PostalAddress/Country";"Nation with its own government.";"CountryCode";"";"^[A-Z]{2,2}$";"";"";""
"AddressLine";"0..7";"OBReadBeneficiary3/Data/Beneficiary/CreditorAgent/PostalAddress/AddressLine";"Information that locates and identifies a specific address, as defined by postal services, presented in free format text.";"Max70Text";"";"";"";"";"70"
"CreditorAccount";"0..1";"OBReadBeneficiary3/Data/Beneficiary/CreditorAccount";"Provides the details to identify the beneficiary account.";"OBCashAccount5";"";"";"";"";""
"SchemeName";"1..1";"OBReadBeneficiary3/Data/Beneficiary/CreditorAccount/SchemeName";"Name of the identification scheme, in a coded form as published in an external list.";"OBExternalAccountIdentification4Code";"UK.OBIE.BBAN
UK.OBIE.IBAN
UK.OBIE.PAN
UK.OBIE.Paym
UK.OBIE.SortCodeAccountNumber";"";"";"";"40"
"Identification";"1..1";"OBReadBeneficiary3/Data/Beneficiary/CreditorAccount/Identification";"Identification assigned by an institution to identify an account. This identification is known by the account owner.";"Max256Text";"";"";"";"";"256"
"Name";"0..1";"OBReadBeneficiary3/Data/Beneficiary/CreditorAccount/Name";"Name of the account, as assigned by the account servicing institution.

Usage: The account name is the name or names of the account owner(s) represented at an account level. The account name is not the product name or the nickname of the account.";"Max70Text";"";"";"";"";"70"
"SecondaryIdentification";"0..1";"OBReadBeneficiary3/Data/Beneficiary/CreditorAccount/SecondaryIdentification";"This is secondary identification of the account, as assigned by the account servicing institution. 
This can be used by building societies to additionally identify accounts with a roll number (in addition to a sort code and account number combination).";"Max34Text";"";"";"";"";"34"
"OBReadConsent1";"";"OBReadConsent1";"";"OBReadConsent1";"";"";"";"";""
"Data";"1..1";"OBReadConsent1/Data";"";"OBReadData1";"";"";"";"";""
"Permissions";"1..n";"OBReadConsent1/Data/Permissions";"Specifies the Open Banking account access data types. This is a list of the data clusters being consented by the PSU, and requested for authorisation with the ASPSP.";"OBExternalPermissions1Code";"ReadAccountsBasic
ReadAccountsDetail
ReadBalances
ReadBeneficiariesBasic
ReadBeneficiariesDetail
ReadDirectDebits
ReadOffers
ReadPAN
ReadParty
ReadPartyPSU
ReadProducts
ReadScheduledPaymentsBasic
ReadScheduledPaymentsDetail
ReadStandingOrdersBasic
ReadStandingOrdersDetail
ReadStatementsBasic
ReadStatementsDetail
ReadTransactionsBasic
ReadTransactionsCredits
ReadTransactionsDebits
ReadTransactionsDetail";"";"";"";"35"
"ExpirationDateTime";"0..1";"OBReadConsent1/Data/ExpirationDateTime";"Specified date and time the permissions will expire.
If this is not populated, the permissions will be open ended.";"ISODateTime";"";"";"";"";""
"TransactionFromDateTime";"0..1";"OBReadConsent1/Data/TransactionFromDateTime";"Specified start date and time for the transaction query period.
If this is not populated, the start date will be open ended, and data will be returned from the earliest available transaction.";"ISODateTime";"";"";"";"";""
"TransactionToDateTime";"0..1";"OBReadConsent1/Data/TransactionToDateTime";"Specified end date and time for the transaction query period.
If this is not populated, the end date will be open ended, and data will be returned to the latest available transaction.";"ISODateTime";"";"";"";"";""
"Risk";"1..1";"OBReadConsent1/Risk";"The Risk section is sent by the initiating party to the ASPSP. It is used to specify additional details for risk scoring for Account Info.";"OBRisk2";"";"";"";"";""
"OBReadConsentResponse1";"";"OBReadConsentResponse1";"";"OBReadConsentResponse1";"";"";"";"";""
"Data";"1..1";"OBReadConsentResponse1/Data";"";"OBReadDataConsentResponse1";"";"";"";"";""
"ConsentId";"1..1";"OBReadConsentResponse1/Data/ConsentId";"Unique identification as assigned to identify the account access consent resource.";"Max128Text";"";"";"";"";"128"
"CreationDateTime";"1..1";"OBReadConsentResponse1/Data/CreationDateTime";"Date and time at which the resource was created.";"ISODateTime";"";"";"";"";""
"Status";"1..1";"OBReadConsentResponse1/Data/Status";"Specifies the status of consent resource in code form.";"OBExternalRequestStatus1Code";"Authorised
AwaitingAuthorisation
Rejected
Revoked";"";"";"";"35"
"StatusUpdateDateTime";"1..1";"OBReadConsentResponse1/Data/StatusUpdateDateTime";"Date and time at which the resource status was updated.";"ISODateTime";"";"";"";"";""
"Permissions";"1..n";"OBReadConsentResponse1/Data/Permissions";"Specifies the Open Banking account access data types. This is a list of the data clusters being consented by the PSU, and requested for authorisation with the ASPSP.";"OBExternalPermissions1Code";"ReadAccountsBasic
ReadAccountsDetail
ReadBalances
ReadBeneficiariesBasic
ReadBeneficiariesDetail
ReadDirectDebits
ReadOffers
ReadPAN
ReadParty
ReadPartyPSU
ReadProducts
ReadScheduledPaymentsBasic
ReadScheduledPaymentsDetail
ReadStandingOrdersBasic
ReadStandingOrdersDetail
ReadStatementsBasic
ReadStatementsDetail
ReadTransactionsBasic
ReadTransactionsCredits
ReadTransactionsDebits
ReadTransactionsDetail";"";"";"";"35"
"ExpirationDateTime";"0..1";"OBReadConsentResponse1/Data/ExpirationDateTime";"Specified date and time the permissions will expire.
If this is not populated, the permissions will be open ended.";"ISODateTime";"";"";"";"";""
"TransactionFromDateTime";"0..1";"OBReadConsentResponse1/Data/TransactionFromDateTime";"Specified start date and time for the transaction query period.
If this is not populated, the start date will be open ended, and data will be returned from the earliest available transaction.";"ISODateTime";"";"";"";"";""
"TransactionToDateTime";"0..1";"OBReadConsentResponse1/Data/TransactionToDateTime";"Specified end date and time for the transaction query period.
If this is not populated, the end date will be open ended, and data will be returned to the latest available transaction.";"ISODateTime";"";"";"";"";""
"Risk";"1..1";"OBReadConsentResponse1/Risk";"The Risk section is sent by the initiating party to the ASPSP. It is used to specify additional details for risk scoring for Account Info.";"OBRisk2";"";"";"";"";""
"OBReadDirectDebit1";"";"OBReadDirectDebit1";"";"OBReadDirectDebit1";"";"";"";"";""
"Data";"1..1";"OBReadDirectDebit1/Data";"";"OBReadDataDirectDebit1";"";"";"";"";""
"DirectDebit";"0..n";"OBReadDirectDebit1/Data/DirectDebit";"Account to or from which a cash entry is made.";"OBDirectDebit1";"";"";"";"";""
"AccountId";"1..1";"OBReadDirectDebit1/Data/DirectDebit/AccountId";"A unique and immutable identifier used to identify the account resource. This identifier has no meaning to the account owner.";"Max40Text";"";"";"";"";"40"
"DirectDebitId";"0..1";"OBReadDirectDebit1/Data/DirectDebit/DirectDebitId";"A unique and immutable identifier used to identify the direct debit resource. This identifier has no meaning to the account owner.";"Max40Text";"";"";"";"";"40"
"MandateIdentification";"1..1";"OBReadDirectDebit1/Data/DirectDebit/MandateIdentification";"Direct Debit reference. For AUDDIS service users provide Core Reference. For non AUDDIS service users provide Core reference if possible or last used reference.";"Max35Text";"";"";"";"";"35"
"DirectDebitStatusCode";"0..1";"OBReadDirectDebit1/Data/DirectDebit/DirectDebitStatusCode";"Specifies the status of the direct debit in code form.";"OBExternalDirectDebitStatus1Code";"Active
Inactive";"";"";"";"10"
"Name";"1..1";"OBReadDirectDebit1/Data/DirectDebit/Name";"Name of Service User.";"Max70Text";"";"";"";"";"70"
"PreviousPaymentDateTime";"0..1";"OBReadDirectDebit1/Data/DirectDebit/PreviousPaymentDateTime";"Date of most recent direct debit collection.";"ISODateTime";"";"";"";"";""
"PreviousPaymentAmount";"0..1";"OBReadDirectDebit1/Data/DirectDebit/PreviousPaymentAmount";"The amount of the most recent direct debit collection.";"OBActiveOrHistoricCurrencyAndAmount";"";"";"";"";""
"Amount";"1..1";"OBReadDirectDebit1/Data/DirectDebit/PreviousPaymentAmount/Amount";"A number of monetary units specified in an active currency where the unit of currency is explicit and compliant with ISO 4217.";"OBActiveCurrencyAndAmount_SimpleType";"";"^\d{1,13}\.\d{1,5}$";"";"";""
"Currency";"1..1";"OBReadDirectDebit1/Data/DirectDebit/PreviousPaymentAmount/Currency";"A code allocated to a currency by a Maintenance Agency under an international identification scheme, as described in the latest edition of the international standard ISO 4217 ""Codes for the representation of currencies and funds"".";"ActiveOrHistoricCurrencyCode";"";"^[A-Z]{3,3}$";"";"";""
"OBReadOffer1";"";"OBReadOffer1";"";"OBReadOffer1";"";"";"";"";""
"Data";"1..1";"OBReadOffer1/Data";"";"OBReadDataOffer1";"";"";"";"";""
"Offer";"0..n";"OBReadOffer1/Data/Offer";"";"OBOffer1";"";"";"";"";""
"AccountId";"1..1";"OBReadOffer1/Data/Offer/AccountId";"A unique and immutable identifier used to identify the account resource. This identifier has no meaning to the account owner.";"Max40Text";"";"";"";"";"40"
"OfferId";"0..1";"OBReadOffer1/Data/Offer/OfferId";"A unique and immutable identifier used to identify the offer resource. This identifier has no meaning to the account owner.";"Max40Text";"";"";"";"";"40"
"OfferType";"0..1";"OBReadOffer1/Data/Offer/OfferType";"Offer type, in a coded form.";"OBExternalOfferType1Code";"BalanceTransfer
LimitIncrease
MoneyTransfer
Other
PromotionalRate";"";"";"";"35"
"Description";"0..1";"OBReadOffer1/Data/Offer/Description";"Further details of the offer.";"Max500Text";"";"";"";"";"500"
"StartDateTime";"0..1";"OBReadOffer1/Data/Offer/StartDateTime";"Date and time at which the offer starts.";"ISODateTime";"";"";"";"";""
"EndDateTime";"0..1";"OBReadOffer1/Data/Offer/EndDateTime";"Date and time at which the offer ends.";"ISODateTime";"";"";"";"";""
"Rate";"0..1";"OBReadOffer1/Data/Offer/Rate";"Rate associated with the offer type.";"Max10Text";"";"^(-?\d{1,3}){1}(\.\d{1,4}){0,1}$";"";"";"10"
"Value";"0..1";"OBReadOffer1/Data/Offer/Value";"Value associated with the offer type.";"Number";"";"";"18";"0";""
"Term";"0..1";"OBReadOffer1/Data/Offer/Term";"Further details of the term of the offer.";"Max500Text";"";"";"";"";"500"
"URL";"0..1";"OBReadOffer1/Data/Offer/URL";"URL (Uniform Resource Locator) where documentation on the offer can be found";"Max256Text";"";"";"";"";"256"
"Amount";"0..1";"OBReadOffer1/Data/Offer/Amount";"Amount of money associated with the offer type.";"OBActiveOrHistoricCurrencyAndAmount";"";"";"";"";""
"Amount";"1..1";"OBReadOffer1/Data/Offer/Amount/Amount";"A number of monetary units specified in an active currency where the unit of currency is explicit and compliant with ISO 4217.";"OBActiveCurrencyAndAmount_SimpleType";"";"^\d{1,13}\.\d{1,5}$";"";"";""
"Currency";"1..1";"OBReadOffer1/Data/Offer/Amount/Currency";"A code allocated to a currency by a Maintenance Agency under an international identification scheme, as described in the latest edition of the international standard ISO 4217 ""Codes for the representation of currencies and funds"".";"ActiveOrHistoricCurrencyCode";"";"^[A-Z]{3,3}$";"";"";""
"Fee";"0..1";"OBReadOffer1/Data/Offer/Fee";"Fee associated with the offer type.";"OBActiveOrHistoricCurrencyAndAmount";"";"";"";"";""
"Amount";"1..1";"OBReadOffer1/Data/Offer/Fee/Amount";"A number of monetary units specified in an active currency where the unit of currency is explicit and compliant with ISO 4217.";"OBActiveCurrencyAndAmount_SimpleType";"";"^\d{1,13}\.\d{1,5}$";"";"";""
"Currency";"1..1";"OBReadOffer1/Data/Offer/Fee/Currency";"A code allocated to a currency by a Maintenance Agency under an international identification scheme, as described in the latest edition of the international standard ISO 4217 ""Codes for the representation of currencies and funds"".";"ActiveOrHistoricCurrencyCode";"";"^[A-Z]{3,3}$";"";"";""
"OBReadParty1";"";"OBReadParty1";"";"OBReadParty1";"";"";"";"";""
"Data";"1..1";"OBReadParty1/Data";"";"OBReadDataParty1";"";"";"";"";""
"Party";"0..1";"OBReadParty1/Data/Party";"";"OBParty1";"";"";"";"";""
"PartyId";"1..1";"OBReadParty1/Data/Party/PartyId";"A unique and immutable identifier used to identify the customer resource. This identifier has no meaning to the account owner.";"Max40Text";"";"";"";"";"40"
"PartyNumber";"0..1";"OBReadParty1/Data/Party/PartyNumber";"Number assigned by an agent to identify its customer.";"Max35Text";"";"";"";"";"35"
"PartyType";"0..1";"OBReadParty1/Data/Party/PartyType";"Party type, in a coded form.";"OBExternalPartyType1Code";"Delegate
Joint
Sole";"";"";"";"35"
"Name";"0..1";"OBReadParty1/Data/Party/Name";"Name by which a party is known and which is usually used to identify that party.";"Max70Text";"";"";"";"";"70"
"EmailAddress";"0..1";"OBReadParty1/Data/Party/EmailAddress";"Address for electronic mail (e-mail).";"Max256Text";"";"";"";"";"256"
"Phone";"0..1";"OBReadParty1/Data/Party/Phone";"Collection of information that identifies a phone number, as defined by telecom services.";"PhoneNumber";"";"\+[0-9]{1,3}-[0-9()+\-]{1,30}";"";"";""
"Mobile";"0..1";"OBReadParty1/Data/Party/Mobile";"Collection of information that identifies a mobile phone number, as defined by telecom services.";"PhoneNumber";"";"\+[0-9]{1,3}-[0-9()+\-]{1,30}";"";"";""
"Address";"0..n";"OBReadParty1/Data/Party/Address";"Postal address of a party.";"OBPostalAddress8";"";"";"";"";""
"AddressType";"0..1";"OBReadParty1/Data/Party/Address/AddressType";"Identifies the nature of the postal address.";"OBAddressTypeCode";"Business
Correspondence
DeliveryTo
MailTo
POBox
Postal
Residential
Statement";"";"";"";""
"AddressLine";"0..5";"OBReadParty1/Data/Party/Address/AddressLine";"Information that locates and identifies a specific address, as defined by postal services, that is presented in free format text.";"Max70Text";"";"";"";"";"70"
"StreetName";"0..1";"OBReadParty1/Data/Party/Address/StreetName";"Name of a street or thoroughfare.";"Max70Text";"";"";"";"";"70"
"BuildingNumber";"0..1";"OBReadParty1/Data/Party/Address/BuildingNumber";"Number that identifies the position of a building on a street.";"Max16Text";"";"";"";"";"16"
"PostCode";"0..1";"OBReadParty1/Data/Party/Address/PostCode";"Identifier consisting of a group of letters and/or numbers that is added to a postal address to assist the sorting of mail.";"Max16Text";"";"";"";"";"16"
"TownName";"0..1";"OBReadParty1/Data/Party/Address/TownName";"Name of a built-up area, with defined boundaries, and a local government.";"Max35Text";"";"";"";"";"35"
"CountrySubDivision";"0..1";"OBReadParty1/Data/Party/Address/CountrySubDivision";"Identifies a subdivision of a country eg, state, region, county.";"Max35Text";"";"";"";"";"35"
"Country";"1..1";"OBReadParty1/Data/Party/Address/Country";"Nation with its own government, occupying a particular territory.";"CountryCode";"";"^[A-Z]{2,2}$";"";"";""
"OBReadProduct2";"";"OBReadProduct2";"";"OBReadProduct2";"";"";"";"";""
"Data";"1..1";"OBReadProduct2/Data";"";"OBReadDataProduct2";"";"";"";"";""
"Product";"0..n";"OBReadProduct2/Data/Product";"";"OBProduct2";"";"";"";"";""
"ProductName";"0..1";"OBReadProduct2/Data/Product/ProductName";"The name of the product used for marketing purposes from a customer perspective. I.e. what the customer would recognise.";"Max350Text";"";"";"";"";"350"
"ProductId";"0..1";"OBReadProduct2/Data/Product/ProductId";"Identifier within the parent organisation for the product. Must be unique in the organisation.";"Max40Text";"";"";"";"";"40"
"AccountId";"1..1";"OBReadProduct2/Data/Product/AccountId";"A unique and immutable identifier used to identify the account resource. This identifier has no meaning to the account owner.";"Max40Text";"";"";"";"";"40"
"SecondaryProductId";"0..1";"OBReadProduct2/Data/Product/SecondaryProductId";"Identifier within the parent organisation for the product. Must be unique in the organisation.";"Max70Text";"";"";"";"";"70"
"ProductType";"0..1";"OBReadProduct2/Data/Product/ProductType";"Descriptive code for the product category. 
If ProductType - ""Other"" is chosen, the object OtherProductType must be populated with name, and description.";"OBExternalProductType1Code";"BusinessCurrentAccount
CommercialCreditCard
Other
PersonalCurrentAccount
SMELoan";"";"";"";"35"
"MarketingStateId";"0..1";"OBReadProduct2/Data/Product/MarketingStateId";"Unique and unambiguous identification of a Product Marketing State.";"Max35Text";"";"";"";"";"35"
"OtherProductType";"0..1";"OBReadProduct2/Data/Product/OtherProductType";"This field provides extension to the ProductType enumeration.
If ProductType - ""Other"" is chosen, this field must be populated with name, and description for ASPSP specific product type.";"OBOtherProductType1";"";"";"";"";""
"Name";"1..1";"OBReadProduct2/Data/Product/OtherProductType/Name";"Name of ""Other"" product type.";"Max350Text";"";"";"";"";"350"
"Description";"1..1";"OBReadProduct2/Data/Product/OtherProductType/Description";"Description of ""Other"" product type.";"Max350Text";"";"";"";"";"350"
"BCA";"0..1";"OBReadProduct2/Data/Product/BCA";"";"OBBCAData1";"";"";"";"";""
"PCA";"0..1";"OBReadProduct2/Data/Product/PCA";"";"OBPCAData1";"";"";"";"";""
"OBReadScheduledPayment2";"";"OBReadScheduledPayment2";"";"OBReadScheduledPayment2";"";"";"";"";""
"Data";"1..1";"OBReadScheduledPayment2/Data";"";"OBReadDataScheduledPayment2";"";"";"";"";""
"ScheduledPayment";"0..n";"OBReadScheduledPayment2/Data/ScheduledPayment";"";"OBScheduledPayment2";"";"";"";"";""
"AccountId";"1..1";"OBReadScheduledPayment2/Data/ScheduledPayment/AccountId";"A unique and immutable identifier used to identify the account resource. This identifier has no meaning to the account owner.";"Max40Text";"";"";"";"";"40"
"ScheduledPaymentId";"0..1";"OBReadScheduledPayment2/Data/ScheduledPayment/ScheduledPaymentId";"A unique and immutable identifier used to identify the scheduled payment resource. This identifier has no meaning to the account owner.";"Max40Text";"";"";"";"";"40"
"ScheduledPaymentDateTime";"1..1";"OBReadScheduledPayment2/Data/ScheduledPayment/ScheduledPaymentDateTime";"The date on which the scheduled payment will be made.";"ISODateTime";"";"";"";"";""
