"Composition or Attribute/Name";"Composition or Attribute/Occurrence";"Composition or Attribute/XPath";"Notes/EnhancedDefinition";"Class, data type of a composition or attribute/Name";"Class, data type of a composition or attribute/Codes";"Class, data type of a composition or attribute/Pattern";"Class, data type of a composition or attribute/TotalDigits";"Class, data type of a composition or attribute/FractionDigits";"Class, data type of a composition or attribute/MaxLength"
"SecondaryIdentification";"0..1";"OBWriteDomestic2/Data/Initiation/CreditorAccount/SecondaryIdentification";"This is secondary identification of the account, as assigned by the account servicing institution. 
This can be used by building societies to additionally identify accounts with a roll number (in addition to a sort code and account number combination).";"Max34Text";"";"";"";"";"34"
"CreditorPostalAddress";"0..1";"OBWriteDomestic2/Data/Initiation/CreditorPostalAddress";"Information that locates and identifies a specific address, as defined by postal services.";"OBPostalAddress6";"";"";"";"";""
"AddressType";"0..1";"OBWriteDomestic2/Data/Initiation/CreditorPostalAddress/AddressType";"Identifies the nature of the postal address.";"OBAddressTypeCode";"Business
Correspondence
DeliveryTo
MailTo
POBox
Postal
Residential
Statement";"";"";"";""
"Department";"0..1";"OBWriteDomestic2/Data/Initiation/CreditorPostalAddress/Department";"Identification of a division of a large organisation or building.";"Max70Text";"";"";"";"";"70"
"SubDepartment";"0..1";"OBWriteDomestic2/Data/Initiation/CreditorPostalAddress/SubDepartment";"Identification of a sub-division of a large organisation or building.";"Max70Text";"";"";"";"";"70"
"StreetName";"0..1";"OBWriteDomestic2/Data/Initiation/CreditorPostalAddress/StreetName";"Name of a street or thoroughfare.";"Max70Text";"";"";"";"";"70"
"BuildingNumber";"0..1";"OBWriteDomestic2/Data/Initiation/CreditorPostalAddress/BuildingNumber";"Number that identifies the position of a building on a street.";"Max16Text";"";"";"";"";"16"
"PostCode";"0..1";"OBWriteDomestic2/Data/Initiation/CreditorPostalAddress/PostCode";"Identifier consisting of a group of letters and/or numbers that is added to a postal address to assist the sorting of mail.";"Max16Text";"";"";"";"";"16"
"TownName";"0..1";"OBWriteDomestic2/Data/Initiation/CreditorPostalAddress/TownName";"Name of a built-up area, with defined boundaries, and a local government.";"Max35Text";"";"";"";"";"35"
"CountrySubDivision";"0..1";"OBWriteDomestic2/Data/Initiation/CreditorPostalAddress/CountrySubDivision";"Identifies a subdivision of a country such as state, region, county.";"Max35Text";"";"";"";"";"35"
"Country";"0..1";"OBWriteDomestic2/Data/Initiation/CreditorPostalAddress/Country";"Nation with its own government.";"CountryCode";"";"^[A-Z]{2,2}$";"";"";""
"AddressLine";"0..7";"OBWriteDomestic2/Data/Initiation/CreditorPostalAddress/AddressLine";"Information that locates and identifies a specific address, as defined by postal services, presented in free format text.";"Max70Text";"";"";"";"";"70"
"RemittanceInformation";"0..1";"OBWriteDomestic2/Data/Initiation/RemittanceInformation";"Information supplied to enable the matching of an entry with the items that the transfer is intended to settle, such as commercial invoices in an accounts' receivable system.";"OBRemittanceInformation1";"";"";"";"";""
"Unstructured";"0..1";"OBWriteDomestic2/Data/Initiation/RemittanceInformation/Unstructured";"Information supplied to enable the matching/reconciliation of an entry with the items that the payment is intended to settle, such as commercial invoices in an accounts' receivable system, in an unstructured form.";"Max140Text";"";"";"";"";"140"
"Reference";"0..1";"OBWriteDomestic2/Data/Initiation/RemittanceInformation/Reference";"Unique reference, as assigned by the creditor, to unambiguously refer to the payment transaction.

Usage: If available, the initiating party should provide this reference in the structured remittance information, to enable reconciliation by the creditor upon receipt of the amount of money.

If the business context requires the use of a creditor reference or a payment remit identification, and only one identifier can be passed through the end-to-end chain, the creditor's reference or payment remittance identification should be quoted in the end-to-end transaction identification.
OB: The Faster Payments Scheme can only accept 18 characters for the ReferenceInformation field - which is where this ISO field will be mapped.";"Max35Text";"";"";"";"";"35"
"SupplementaryData";"0..1";"OBWriteDomestic2/Data/Initiation/SupplementaryData";"Additional information that can not be captured in the structured fields and/or any other specific block.";"OBSupplementaryData1";"";"";"";"";""
"Risk";"1..1";"OBWriteDomestic2/Risk";"The Risk section is sent by the initiating party to the ASPSP. It is used to specify additional details for risk scoring for Payments.";"OBRisk1";"";"";"";"";""
"PaymentContextCode";"0..1";"OBWriteDomestic2/Risk/PaymentContextCode";"Specifies the payment context";"OBExternalPaymentContext1Code";"BillPayment
EcommerceGoods
EcommerceServices
Other
PartyToParty";"";"";"";"35"
"MerchantCategoryCode";"0..1";"OBWriteDomestic2/Risk/MerchantCategoryCode";"Category code conform to ISO 18245, related to the type of services or goods the merchant provides for the transaction.";"Min3Max4Text";"";"";"";"";"4"
"MerchantCustomerIdentification";"0..1";"OBWriteDomestic2/Risk/MerchantCustomerIdentification";"The unique customer identifier of the PSU with the merchant.";"Max70Text";"";"";"";"";"70"
"DeliveryAddress";"0..1";"OBWriteDomestic2/Risk/DeliveryAddress";"Information that locates and identifies a specific address, as defined by postal services or in free format text.";"PostalAddress18";"";"";"";"";""
"AddressLine";"0..2";"OBWriteDomestic2/Risk/DeliveryAddress/AddressLine";"Information that locates and identifies a specific address, as defined by postal services, that is presented in free format text.";"Max70Text";"";"";"";"";"70"
"StreetName";"0..1";"OBWriteDomestic2/Risk/DeliveryAddress/StreetName";"Name of a street or thoroughfare.";"Max70Text";"";"";"";"";"70"
"BuildingNumber";"0..1";"OBWriteDomestic2/Risk/DeliveryAddress/BuildingNumber";"Number that identifies the position of a building on a street.";"Max16Text";"";"";"";"";"16"
"PostCode";"0..1";"OBWriteDomestic2/Risk/DeliveryAddress/PostCode";"Identifier consisting of a group of letters and/or numbers that is added to a postal address to assist the sorting of mail.";"Max16Text";"";"";"";"";"16"
"TownName";"1..1";"OBWriteDomestic2/Risk/DeliveryAddress/TownName";"Name of a built-up area, with defined boundaries, and a local government.";"Max35Text";"";"";"";"";"35"
"CountrySubDivision";"0..2";"OBWriteDomestic2/Risk/DeliveryAddress/CountrySubDivision";"Identifies a subdivision of a country, for instance state, region, county.";"Max35Text";"";"";"";"";"35"
"Country";"1..1";"OBWriteDomestic2/Risk/DeliveryAddress/Country";"Nation with its own government, occupying a particular territory.";"CountryCode";"";"^[A-Z]{2,2}$";"";"";""
"OBWriteDomesticConsent2";"";"OBWriteDomesticConsent2";"";"OBWriteDomesticConsent2";"";"";"";"";""
"Data";"1..1";"OBWriteDomesticConsent2/Data";"";"OBWriteDataDomesticConsent2";"";"";"";"";""
"Initiation";"1..1";"OBWriteDomesticConsent2/Data/Initiation";"The Initiation payload is sent by the initiating party to the ASPSP. It is used to request movement of funds from the debtor account to a creditor for a single domestic payment.";"OBDomestic2";"";"";"";"";""
"InstructionIdentification";"1..1";"OBWriteDomesticConsent2/Data/Initiation/InstructionIdentification";"Unique identification as assigned by an instructing party for an instructed party to unambiguously identify the instruction.

Usage: the  instruction identification is a point to point reference that can be used between the instructing party and the instructed party to refer to the individual instruction. It can be included in several messages related to the instruction.";"Max35Text";"";"";"";"";"35"
"EndToEndIdentification";"1..1";"OBWriteDomesticConsent2/Data/Initiation/EndToEndIdentification";"Unique identification assigned by the initiating party to unambiguously identify the transaction. This identification is passed on, unchanged, throughout the entire end-to-end chain.

Usage: The end-to-end identification can be used for reconciliation or to link tasks relating to the transaction. It can be included in several messages related to the transaction.
OB: The Faster Payments Scheme can only access 31 characters for the EndToEndIdentification field.";"Max35Text";"";"";"";"";"35"
"LocalInstrument";"0..1";"OBWriteDomesticConsent2/Data/Initiation/LocalInstrument";"User community specific instrument.

Usage: This element is used to specify a local instrument, local clearing option and/or further qualify the service or service level.";"OBExternalLocalInstrument1Code";"UK.OBIE.BACS
UK.OBIE.BalanceTransfer
UK.OBIE.CHAPS
UK.OBIE.Euro1
UK.OBIE.FPS
UK.OBIE.Link
UK.OBIE.MoneyTransfer
UK.OBIE.Paym
UK.OBIE.SEPACreditTransfer
UK.OBIE.SEPAInstantCreditTransfer
UK.OBIE.SWIFT
UK.OBIE.Target2";"";"";"";"50"
"InstructedAmount";"1..1";"OBWriteDomesticConsent2/Data/Initiation/InstructedAmount";"Amount of money to be moved between the debtor and creditor, before deduction of charges, expressed in the currency as ordered by the initiating party.

Usage: This amount has to be transported unchanged through the transaction chain.";"OBActiveOrHistoricCurrencyAndAmount";"";"";"";"";""
"Amount";"1..1";"OBWriteDomesticConsent2/Data/Initiation/InstructedAmount/Amount";"A number of monetary units specified in an active currency where the unit of currency is explicit and compliant with ISO 4217.";"OBActiveCurrencyAndAmount_SimpleType";"";"^\d{1,13}\.\d{1,5}$";"";"";""
"Currency";"1..1";"OBWriteDomesticConsent2/Data/Initiation/InstructedAmount/Currency";"A code allocated to a currency by a Maintenance Agency under an international identification scheme, as described in the latest edition of the international standard ISO 4217 ""Codes for the representation of currencies and funds"".";"ActiveOrHistoricCurrencyCode";"";"^[A-Z]{3,3}$";"";"";""
"DebtorAccount";"0..1";"OBWriteDomesticConsent2/Data/Initiation/DebtorAccount";"Unambiguous identification of the account of the debtor to which a debit entry will be made as a result of the transaction.";"OBCashAccountDebtor4";"";"";"";"";""
"SchemeName";"1..1";"OBWriteDomesticConsent2/Data/Initiation/DebtorAccount/SchemeName";"Name of the identification scheme, in a coded form as published in an external list.";"OBExternalAccountIdentification4Code";"UK.OBIE.BBAN
UK.OBIE.IBAN
UK.OBIE.PAN
UK.OBIE.Paym
UK.OBIE.SortCodeAccountNumber";"";"";"";"40"
"Identification";"1..1";"OBWriteDomesticConsent2/Data/Initiation/DebtorAccount/Identification";"Identification assigned by an institution to identify an account. This identification is known by the account owner.";"Max256Text";"";"";"";"";"256"
"Name";"0..1";"OBWriteDomesticConsent2/Data/Initiation/DebtorAccount/Name";"Name of the account, as assigned by the account servicing institution.

Usage: The account name is the name or names of the account owner(s) represented at an account level. The account name is not the product name or the nickname of the account.";"Max70Text";"";"";"";"";"70"
"SecondaryIdentification";"0..1";"OBWriteDomesticConsent2/Data/Initiation/DebtorAccount/SecondaryIdentification";"This is secondary identification of the account, as assigned by the account servicing institution. 
This can be used by building societies to additionally identify accounts with a roll number (in addition to a sort code and account number combination).";"Max34Text";"";"";"";"";"34"
"CreditorAccount";"1..1";"OBWriteDomesticConsent2/Data/Initiation/CreditorAccount";"Unambiguous identification of the account of the creditor to which a credit entry will be posted as a result of the payment transaction.";"OBCashAccountCreditor3";"";"";"";"";""
"SchemeName";"1..1";"OBWriteDomesticConsent2/Data/Initiation/CreditorAccount/SchemeName";"Name of the identification scheme, in a coded form as published in an external list.";"OBExternalAccountIdentification4Code";"UK.OBIE.BBAN
UK.OBIE.IBAN
UK.OBIE.PAN
UK.OBIE.Paym
UK.OBIE.SortCodeAccountNumber";"";"";"";"40"
"Identification";"1..1";"OBWriteDomesticConsent2/Data/Initiation/CreditorAccount/Identification";"Identification assigned by an institution to identify an account. This identification is known by the account owner.";"Max256Text";"";"";"";"";"256"
"Name";"1..1";"OBWriteDomesticConsent2/Data/Initiation/CreditorAccount/Name";"Name of the account, as assigned by the account servicing institution.

Usage: The account name is the name or names of the account owner(s) represented at an account level. The account name is not the product name or the nickname of the account.
OB: ASPSPs may carry out name validation for Confirmation of Payee, but it is not mandatory.";"Max70Text";"";"";"";"";"70"
"SecondaryIdentification";"0..1";"OBWriteDomesticConsent2/Data/Initiation/CreditorAccount/SecondaryIdentification";"This is secondary identification of the account, as assigned by the account servicing institution. 
This can be used by building societies to additionally identify accounts with a roll number (in addition to a sort code and account number combination).";"Max34Text";"";"";"";"";"34"
"CreditorPostalAddress";"0..1";"OBWriteDomesticConsent2/Data/Initiation/CreditorPostalAddress";"Information that locates and identifies a specific address, as defined by postal services.";"OBPostalAddress6";"";"";"";"";""
"AddressType";"0..1";"OBWriteDomesticConsent2/Data/Initiation/CreditorPostalAddress/AddressType";"Identifies the nature of the postal address.";"OBAddressTypeCode";"Business
Correspondence
DeliveryTo
MailTo
POBox
Postal
Residential
Statement";"";"";"";""
"Department";"0..1";"OBWriteDomesticConsent2/Data/Initiation/CreditorPostalAddress/Department";"Identification of a division of a large organisation or building.";"Max70Text";"";"";"";"";"70"
"SubDepartment";"0..1";"OBWriteDomesticConsent2/Data/Initiation/CreditorPostalAddress/SubDepartment";"Identification of a sub-division of a large organisation or building.";"Max70Text";"";"";"";"";"70"
"StreetName";"0..1";"OBWriteDomesticConsent2/Data/Initiation/CreditorPostalAddress/StreetName";"Name of a street or thoroughfare.";"Max70Text";"";"";"";"";"70"
"BuildingNumber";"0..1";"OBWriteDomesticConsent2/Data/Initiation/CreditorPostalAddress/BuildingNumber";"Number that identifies the position of a building on a street.";"Max16Text";"";"";"";"";"16"
"PostCode";"0..1";"OBWriteDomesticConsent2/Data/Initiation/CreditorPostalAddress/PostCode";"Identifier consisting of a group of letters and/or numbers that is added to a postal address to assist the sorting of mail.";"Max16Text";"";"";"";"";"16"
"TownName";"0..1";"OBWriteDomesticConsent2/Data/Initiation/CreditorPostalAddress/TownName";"Name of a built-up area, with defined boundaries, and a local government.";"Max35Text";"";"";"";"";"35"
"CountrySubDivision";"0..1";"OBWriteDomesticConsent2/Data/Initiation/CreditorPostalAddress/CountrySubDivision";"Identifies a subdivision of a country such as state, region, county.";"Max35Text";"";"";"";"";"35"
"Country";"0..1";"OBWriteDomesticConsent2/Data/Initiation/CreditorPostalAddress/Country";"Nation with its own government.";"CountryCode";"";"^[A-Z]{2,2}$";"";"";""
"AddressLine";"0..7";"OBWriteDomesticConsent2/Data/Initiation/CreditorPostalAddress/AddressLine";"Information that locates and identifies a specific address, as defined by postal services, presented in free format text.";"Max70Text";"";"";"";"";"70"
"RemittanceInformation";"0..1";"OBWriteDomesticConsent2/Data/Initiation/RemittanceInformation";"Information supplied to enable the matching of an entry with the items that the transfer is intended to settle, such as commercial invoices in an accounts' receivable system.";"OBRemittanceInformation1";"";"";"";"";""
"Unstructured";"0..1";"OBWriteDomesticConsent2/Data/Initiation/RemittanceInformation/Unstructured";"Information supplied to enable the matching/reconciliation of an entry with the items that the payment is intended to settle, such as commercial invoices in an accounts' receivable system, in an unstructured form.";"Max140Text";"";"";"";"";"140"
"Reference";"0..1";"OBWriteDomesticConsent2/Data/Initiation/RemittanceInformation/Reference";"Unique reference, as assigned by the creditor, to unambiguously refer to the payment transaction.

Usage: If available, the initiating party should provide this reference in the structured remittance information, to enable reconciliation by the creditor upon receipt of the amount of money.

If the business context requires the use of a creditor reference or a payment remit identification, and only one identifier can be passed through the end-to-end chain, the creditor's reference or payment remittance identification should be quoted in the end-to-end transaction identification.
OB: The Faster Payments Scheme can only accept 18 characters for the ReferenceInformation field - which is where this ISO field will be mapped.";"Max35Text";"";"";"";"";"35"
"SupplementaryData";"0..1";"OBWriteDomesticConsent2/Data/Initiation/SupplementaryData";"Additional information that can not be captured in the structured fields and/or any other specific block.";"OBSupplementaryData1";"";"";"";"";""
"Authorisation";"0..1";"OBWriteDomesticConsent2/Data/Authorisation";"The authorisation type request from the TPP.";"OBAuthorisation1";"";"";"";"";""
"AuthorisationType";"1..1";"OBWriteDomesticConsent2/Data/Authorisation/AuthorisationType";"Type of authorisation flow requested.";"OBExternalAuthorisation1Code";"Any
Single";"";"";"";"35"
"CompletionDateTime";"0..1";"OBWriteDomesticConsent2/Data/Authorisation/CompletionDateTime";"Date and time at which the requested authorisation flow must be completed.";"ISODateTime";"";"";"";"";""
"Risk";"1..1";"OBWriteDomesticConsent2/Risk";"The Risk section is sent by the initiating party to the ASPSP. It is used to specify additional details for risk scoring for Payments.";"OBRisk1";"";"";"";"";""
"PaymentContextCode";"0..1";"OBWriteDomesticConsent2/Risk/PaymentContextCode";"Specifies the payment context";"OBExternalPaymentContext1Code";"BillPayment
EcommerceGoods
EcommerceServices
Other
PartyToParty";"";"";"";"35"
"MerchantCategoryCode";"0..1";"OBWriteDomesticConsent2/Risk/MerchantCategoryCode";"Category code conform to ISO 18245, related to the type of services or goods the merchant provides for the transaction.";"Min3Max4Text";"";"";"";"";"4"
"MerchantCustomerIdentification";"0..1";"OBWriteDomesticConsent2/Risk/MerchantCustomerIdentification";"The unique customer identifier of the PSU with the merchant.";"Max70Text";"";"";"";"";"70"
"DeliveryAddress";"0..1";"OBWriteDomesticConsent2/Risk/DeliveryAddress";"Information that locates and identifies a specific address, as defined by postal services or in free format text.";"PostalAddress18";"";"";"";"";""
"AddressLine";"0..2";"OBWriteDomesticConsent2/Risk/DeliveryAddress/AddressLine";"Information that locates and identifies a specific address, as defined by postal services, that is presented in free format text.";"Max70Text";"";"";"";"";"70"
"StreetName";"0..1";"OBWriteDomesticConsent2/Risk/DeliveryAddress/StreetName";"Name of a street or thoroughfare.";"Max70Text";"";"";"";"";"70"
"BuildingNumber";"0..1";"OBWriteDomesticConsent2/Risk/DeliveryAddress/BuildingNumber";"Number that identifies the position of a building on a street.";"Max16Text";"";"";"";"";"16"
"PostCode";"0..1";"OBWriteDomesticConsent2/Risk/DeliveryAddress/PostCode";"Identifier consisting of a group of letters and/or numbers that is added to a postal address to assist the sorting of mail.";"Max16Text";"";"";"";"";"16"
"TownName";"1..1";"OBWriteDomesticConsent2/Risk/DeliveryAddress/TownName";"Name of a built-up area, with defined boundaries, and a local government.";"Max35Text";"";"";"";"";"35"
"CountrySubDivision";"0..2";"OBWriteDomesticConsent2/Risk/DeliveryAddress/CountrySubDivision";"Identifies a subdivision of a country, for instance state, region, county.";"Max35Text";"";"";"";"";"35"
"Country";"1..1";"OBWriteDomesticConsent2/Risk/DeliveryAddress/Country";"Nation with its own government, occupying a particular territory.";"CountryCode";"";"^[A-Z]{2,2}$";"";"";""
"OBWriteDomesticConsentResponse2";"";"OBWriteDomesticConsentResponse2";"";"OBWriteDomesticConsentResponse2";"";"";"";"";""
"Data";"1..1";"OBWriteDomesticConsentResponse2/Data";"";"OBWriteDataDomesticConsentResponse2";"";"";"";"";""
"ConsentId";"1..1";"OBWriteDomesticConsentResponse2/Data/ConsentId";"OB: Unique identification as assigned by the ASPSP to uniquely identify the consent resource.";"Max128Text";"";"";"";"";"128"
"CreationDateTime";"1..1";"OBWriteDomesticConsentResponse2/Data/CreationDateTime";"Date and time at which the resource was created.";"ISODateTime";"";"";"";"";""
"Status";"1..1";"OBWriteDomesticConsentResponse2/Data/Status";"Specifies the status of consent resource in code form.";"OBExternalConsentStatus1Code";"Authorised
AwaitingAuthorisation
Consumed
Rejected";"";"";"";"35"
"StatusUpdateDateTime";"1..1";"OBWriteDomesticConsentResponse2/Data/StatusUpdateDateTime";"Date and time at which the resource status was updated.";"ISODateTime";"";"";"";"";""
"CutOffDateTime";"0..1";"OBWriteDomesticConsentResponse2/Data/CutOffDateTime";"Specified cut-off date and time for the payment consent.";"ISODateTime";"";"";"";"";""
"ExpectedExecutionDateTime";"0..1";"OBWriteDomesticConsentResponse2/Data/ExpectedExecutionDateTime";"Expected execution date and time for the payment resource.";"ISODateTime";"";"";"";"";""
"ExpectedSettlementDateTime";"0..1";"OBWriteDomesticConsentResponse2/Data/ExpectedSettlementDateTime";"Expected settlement date and time for the payment resource.";"ISODateTime";"";"";"";"";""
"Charges";"0..n";"OBWriteDomesticConsentResponse2/Data/Charges";"Set of elements used to provide details of a charge for the payment initiation.";"OBCharge2";"";"";"";"";""
"ChargeBearer";"1..1";"OBWriteDomesticConsentResponse2/Data/Charges/ChargeBearer";"Specifies which party/parties will bear the charges associated with the processing of the payment transaction.";"OBChargeBearerType1Code";"BorneByCreditor
BorneByDebtor
FollowingServiceLevel
Shared";"";"";"";""
"Type";"1..1";"OBWriteDomesticConsentResponse2/Data/Charges/Type";"Charge type, in a coded form.";"OBExternalPaymentChargeType1Code";"UK.OBIE.CHAPSOut";"";"";"";"40"
"Amount";"1..1";"OBWriteDomesticConsentResponse2/Data/Charges/Amount";"Amount of money associated with the charge type.";"OBActiveOrHistoricCurrencyAndAmount";"";"";"";"";""
"Amount";"1..1";"OBWriteDomesticConsentResponse2/Data/Charges/Amount/Amount";"A number of monetary units specified in an active currency where the unit of currency is explicit and compliant with ISO 4217.";"OBActiveCurrencyAndAmount_SimpleType";"";"^\d{1,13}\.\d{1,5}$";"";"";""
"Currency";"1..1";"OBWriteDomesticConsentResponse2/Data/Charges/Amount/Currency";"A code allocated to a currency by a Maintenance Agency under an international identification scheme, as described in the latest edition of the international standard ISO 4217 ""Codes for the representation of currencies and funds"".";"ActiveOrHistoricCurrencyCode";"";"^[A-Z]{3,3}$";"";"";""
"Initiation";"1..1";"OBWriteDomesticConsentResponse2/Data/Initiation";"The Initiation payload is sent by the initiating party to the ASPSP. It is used to request movement of funds from the debtor account to a creditor for a single domestic payment.";"OBDomestic2";"";"";"";"";""
"InstructionIdentification";"1..1";"OBWriteDomesticConsentResponse2/Data/Initiation/InstructionIdentification";"Unique identification as assigned by an instructing party for an instructed party to unambiguously identify the instruction.

Usage: the  instruction identification is a point to point reference that can be used between the instructing party and the instructed party to refer to the individual instruction. It can be included in several messages related to the instruction.";"Max35Text";"";"";"";"";"35"
"EndToEndIdentification";"1..1";"OBWriteDomesticConsentResponse2/Data/Initiation/EndToEndIdentification";"Unique identification assigned by the initiating party to unambiguously identify the transaction. This identification is passed on, unchanged, throughout the entire end-to-end chain.

Usage: The end-to-end identification can be used for reconciliation or to link tasks relating to the transaction. It can be included in several messages related to the transaction.
OB: The Faster Payments Scheme can only access 31 characters for the EndToEndIdentification field.";"Max35Text";"";"";"";"";"35"
"LocalInstrument";"0..1";"OBWriteDomesticConsentResponse2/Data/Initiation/LocalInstrument";"User community specific instrument.

Usage: This element is used to specify a local instrument, local clearing option and/or further qualify the service or service level.";"OBExternalLocalInstrument1Code";"UK.OBIE.BACS
UK.OBIE.BalanceTransfer
UK.OBIE.CHAPS
UK.OBIE.Euro1
UK.OBIE.FPS
UK.OBIE.Link
UK.OBIE.MoneyTransfer
UK.OBIE.Paym
UK.OBIE.SEPACreditTransfer
UK.OBIE.SEPAInstantCreditTransfer
UK.OBIE.SWIFT
UK.OBIE.Target2";"";"";"";"50"
"InstructedAmount";"1..1";"OBWriteDomesticConsentResponse2/Data/Initiation/InstructedAmount";"Amount of money to be moved between the debtor and creditor, before deduction of charges, expressed in the currency as ordered by the initiating party.

Usage: This amount has to be transported unchanged through the transaction chain.";"OBActiveOrHistoricCurrencyAndAmount";"";"";"";"";""
"Amount";"1..1";"OBWriteDomesticConsentResponse2/Data/Initiation/InstructedAmount/Amount";"A number of monetary units specified in an active currency where the unit of currency is explicit and compliant with ISO 4217.";"OBActiveCurrencyAndAmount_SimpleType";"";"^\d{1,13}\.\d{1,5}$";"";"";""
