"Composition or Attribute/Name";"Composition or Attribute/Occurrence";"Composition or Attribute/XPath";"Notes/EnhancedDefinition";"Class, data type of a composition or attribute/Name";"Class, data type of a composition or attribute/Codes";"Class, data type of a composition or attribute/Pattern";"Class, data type of a composition or attribute/TotalDigits";"Class, data type of a composition or attribute/FractionDigits"
"DebtorAccount";"0..1";"OBWriteDomesticScheduledResponse1/Data/Initiation/DebtorAccount";"Unambiguous identification of the account of the debtor to which a debit entry will be made as a result of the transaction.";"OBCashAccountDebtor3";"";"";"";""
"SchemeName";"1..1";"OBWriteDomesticScheduledResponse1/Data/Initiation/DebtorAccount/SchemeName";"Name of the identification scheme, in a coded form as published in an external list.";"Max40Text";"";"";"";""
"Identification";"1..1";"OBWriteDomesticScheduledResponse1/Data/Initiation/DebtorAccount/Identification";"Identification assigned by an institution to identify an account. This identification is known by the account owner.";"Max256Text";"";"";"";""
"Name";"0..1";"OBWriteDomesticScheduledResponse1/Data/Initiation/DebtorAccount/Name";"Name of the account, as assigned by the account servicing institution.

Usage: The account name is the name or names of the account owner(s) represented at an account level. The account name is not the product name or the nickname of the account.";"Max70Text";"";"";"";""
"SecondaryIdentification";"0..1";"OBWriteDomesticScheduledResponse1/Data/Initiation/DebtorAccount/SecondaryIdentification";"This is secondary identification of the account, as assigned by the account servicing institution. 
This can be used by building societies to additionally identify accounts with a roll number (in addition to a sort code and account number combination).";"Max34Text";"";"";"";""
"CreditorAccount";"1..1";"OBWriteDomesticScheduledResponse1/Data/Initiation/CreditorAccount";"Unambiguous identification of the account of the creditor to which a credit entry will be posted as a result of the payment transaction.";"OBCashAccountCreditor2";"";"";"";""
"SchemeName";"1..1";"OBWriteDomesticScheduledResponse1/Data/Initiation/CreditorAccount/SchemeName";"Name of the identification scheme, in a coded form as published in an external list.";"Max40Text";"";"";"";""
"Identification";"1..1";"OBWriteDomesticScheduledResponse1/Data/Initiation/CreditorAccount/Identification";"Identification assigned by an institution to identify an account. This identification is known by the account owner.";"Max256Text";"";"";"";""
"Name";"1..1";"OBWriteDomesticScheduledResponse1/Data/Initiation/CreditorAccount/Name";"Name of the account, as assigned by the account servicing institution.

Usage: The account name is the name or names of the account owner(s) represented at an account level. The account name is not the product name or the nickname of the account.
OB: ASPSPs may carry out name validation for Confirmation of Payee, but it is not mandatory.";"Max70Text";"";"";"";""
"SecondaryIdentification";"0..1";"OBWriteDomesticScheduledResponse1/Data/Initiation/CreditorAccount/SecondaryIdentification";"This is secondary identification of the account, as assigned by the account servicing institution. 
This can be used by building societies to additionally identify accounts with a roll number (in addition to a sort code and account number combination).";"Max34Text";"";"";"";""
"CreditorPostalAddress";"0..1";"OBWriteDomesticScheduledResponse1/Data/Initiation/CreditorPostalAddress";"Information that locates and identifies a specific address, as defined by postal services.";"OBPostalAddress6";"";"";"";""
"AddressType";"0..1";"OBWriteDomesticScheduledResponse1/Data/Initiation/CreditorPostalAddress/AddressType";"Identifies the nature of the postal address.";"OBAddressTypeCode";"Business
Correspondence
DeliveryTo
MailTo
POBox
Postal
Residential
Statement";"";"";""
"Department";"0..1";"OBWriteDomesticScheduledResponse1/Data/Initiation/CreditorPostalAddress/Department";"Identification of a division of a large organisation or building.";"Max70Text";"";"";"";""
"SubDepartment";"0..1";"OBWriteDomesticScheduledResponse1/Data/Initiation/CreditorPostalAddress/SubDepartment";"Identification of a sub-division of a large organisation or building.";"Max70Text";"";"";"";""
"StreetName";"0..1";"OBWriteDomesticScheduledResponse1/Data/Initiation/CreditorPostalAddress/StreetName";"Name of a street or thoroughfare.";"Max70Text";"";"";"";""
"BuildingNumber";"0..1";"OBWriteDomesticScheduledResponse1/Data/Initiation/CreditorPostalAddress/BuildingNumber";"Number that identifies the position of a building on a street.";"Max16Text";"";"";"";""
"PostCode";"0..1";"OBWriteDomesticScheduledResponse1/Data/Initiation/CreditorPostalAddress/PostCode";"Identifier consisting of a group of letters and/or numbers that is added to a postal address to assist the sorting of mail.";"Max16Text";"";"";"";""
"TownName";"0..1";"OBWriteDomesticScheduledResponse1/Data/Initiation/CreditorPostalAddress/TownName";"Name of a built-up area, with defined boundaries, and a local government.";"Max35Text";"";"";"";""
"CountrySubDivision";"0..1";"OBWriteDomesticScheduledResponse1/Data/Initiation/CreditorPostalAddress/CountrySubDivision";"Identifies a subdivision of a country such as state, region, county.";"Max35Text";"";"";"";""
"Country";"0..1";"OBWriteDomesticScheduledResponse1/Data/Initiation/CreditorPostalAddress/Country";"Nation with its own government.";"CountryCode";"";"^[A-Z]{2,2}$";"";""
"AddressLine";"0..7";"OBWriteDomesticScheduledResponse1/Data/Initiation/CreditorPostalAddress/AddressLine";"Information that locates and identifies a specific address, as defined by postal services, presented in free format text.";"Max70Text";"";"";"";""
"RemittanceInformation";"0..1";"OBWriteDomesticScheduledResponse1/Data/Initiation/RemittanceInformation";"Information supplied to enable the matching of an entry with the items that the transfer is intended to settle, such as commercial invoices in an accounts' receivable system.";"OBRemittanceInformation1";"";"";"";""
"Unstructured";"0..1";"OBWriteDomesticScheduledResponse1/Data/Initiation/RemittanceInformation/Unstructured";"Information supplied to enable the matching/reconciliation of an entry with the items that the payment is intended to settle, such as commercial invoices in an accounts' receivable system, in an unstructured form.";"Max140Text";"";"";"";""
"Reference";"0..1";"OBWriteDomesticScheduledResponse1/Data/Initiation/RemittanceInformation/Reference";"Unique reference, as assigned by the creditor, to unambiguously refer to the payment transaction.

Usage: If available, the initiating party should provide this reference in the structured remittance information, to enable reconciliation by the creditor upon receipt of the amount of money.

If the business context requires the use of a creditor reference or a payment remit identification, and only one identifier can be passed through the end-to-end chain, the creditor's reference or payment remittance identification should be quoted in the end-to-end transaction identification.
OB: The Faster Payments Scheme can only accept 18 characters for the ReferenceInformation field - which is where this ISO field will be mapped.";"Max35Text";"";"";"";""
"MultiAuthorisation";"0..1";"OBWriteDomesticScheduledResponse1/Data/MultiAuthorisation";"The multiple authorisation flow response from the ASPSP.";"OBMultiAuthorisation1";"";"";"";""
"Status";"1..1";"OBWriteDomesticScheduledResponse1/Data/MultiAuthorisation/Status";"Specifies the status of the authorisation flow in code form.";"OBExternalStatus2Code";"Authorised
AwaitingFurtherAuthorisation
Rejected";"";"";""
"NumberRequired";"0..1";"OBWriteDomesticScheduledResponse1/Data/MultiAuthorisation/NumberRequired";"Number of authorisations required for payment order.";"Number";"";"";"18";"0"
"NumberReceived";"0..1";"OBWriteDomesticScheduledResponse1/Data/MultiAuthorisation/NumberReceived";"Number of authorisations received.";"Number";"";"";"18";"0"
"LastUpdateDateTime";"0..1";"OBWriteDomesticScheduledResponse1/Data/MultiAuthorisation/LastUpdateDateTime";"Last date and time at the authorisation flow was updated.";"ISODateTime";"";"";"";""
"ExpirationDateTime";"0..1";"OBWriteDomesticScheduledResponse1/Data/MultiAuthorisation/ExpirationDateTime";"Date and time at which the requested authorisation flow must be completed.";"ISODateTime";"";"";"";""
