"Composition or Attribute/Name";"Composition or Attribute/Occurrence";"Composition or Attribute/XPath";"Notes/EnhancedDefinition";"Class, data type of a composition or attribute/Name";"Class, data type of a composition or attribute/Codes";"Class, data type of a composition or attribute/Pattern";"Class, data type of a composition or attribute/TotalDigits";"Class, data type of a composition or attribute/FractionDigits"
"StatementFee";"0..n";"OBReadStatement1/Data/Statement/StatementFee";"Set of elements used to provide details of a fee for the statement resource.";"OBStatementFee1";"";"";"";""
"Amount";"1..1";"OBReadStatement1/Data/Statement/StatementFee/Amount";"Amount of money associated with the statement fee type.";"ActiveOrHistoricCurrencyAndAmount";"";"";"18";"5"
"Currency";"1..1";"OBReadStatement1/Data/Statement/StatementFee/Amount/Currency";"A code allocated to a currency by a Maintenance Agency under an international identification scheme, as described in the latest edition of the international standard ISO 4217 ""Codes for the representation of currencies and funds"".";"ActiveOrHistoricCurrencyCode";"";"^[A-Z]{3,3}$";"";""
"CreditDebitIndicator";"1..1";"OBReadStatement1/Data/Statement/StatementFee/CreditDebitIndicator";"Indicates whether the amount is a credit or a debit. 
Usage: A zero amount is considered to be a credit amount.";"OBCreditDebitCode";"Credit
Debit";"";"";""
"Type";"1..1";"OBReadStatement1/Data/Statement/StatementFee/Type";"Fee type, in a coded form.";"OBExternalStatementFeeType1Code";"Annual
BalanceTransfer
CashAdvance
CashTransaction
ForeignTransaction
Gambling
LatePayment
MoneyTransfer
Monthly
Overlimit
PostalOrder
PrizeEntry
StatementCopy
Total";"";"";""
"StatementInterest";"0..n";"OBReadStatement1/Data/Statement/StatementInterest";"Set of elements used to provide details of a generic interest amount related to the statement resource.";"OBStatementInterest1";"";"";"";""
"Amount";"1..1";"OBReadStatement1/Data/Statement/StatementInterest/Amount";"Amount of money associated with the statement interest amount type.";"ActiveOrHistoricCurrencyAndAmount";"";"";"18";"5"
"Currency";"1..1";"OBReadStatement1/Data/Statement/StatementInterest/Amount/Currency";"A code allocated to a currency by a Maintenance Agency under an international identification scheme, as described in the latest edition of the international standard ISO 4217 ""Codes for the representation of currencies and funds"".";"ActiveOrHistoricCurrencyCode";"";"^[A-Z]{3,3}$";"";""
"CreditDebitIndicator";"1..1";"OBReadStatement1/Data/Statement/StatementInterest/CreditDebitIndicator";"Indicates whether the amount is a credit or a debit. 
Usage: A zero amount is considered to be a credit amount.";"OBCreditDebitCode";"Credit
Debit";"";"";""
"Type";"1..1";"OBReadStatement1/Data/Statement/StatementInterest/Type";"Interest amount type, in a coded form.";"OBExternalStatementInterestType1Code";"BalanceTransfer
Cash
EstimatedNext
Purchase
Total";"";"";""
"StatementAmount";"0..n";"OBReadStatement1/Data/Statement/StatementAmount";"Set of elements used to provide details of a generic amount for the statement resource.";"OBStatementAmount1";"";"";"";""
"Amount";"1..1";"OBReadStatement1/Data/Statement/StatementAmount/Amount";"Amount of money associated with the amount type.";"ActiveOrHistoricCurrencyAndAmount";"";"";"18";"5"
"Currency";"1..1";"OBReadStatement1/Data/Statement/StatementAmount/Amount/Currency";"A code allocated to a currency by a Maintenance Agency under an international identification scheme, as described in the latest edition of the international standard ISO 4217 ""Codes for the representation of currencies and funds"".";"ActiveOrHistoricCurrencyCode";"";"^[A-Z]{3,3}$";"";""
"CreditDebitIndicator";"1..1";"OBReadStatement1/Data/Statement/StatementAmount/CreditDebitIndicator";"Indicates whether the amount is a credit or a debit. 
Usage: A zero amount is considered to be a credit amount.";"OBCreditDebitCode";"Credit
Debit";"";"";""
"Type";"1..1";"OBReadStatement1/Data/Statement/StatementAmount/Type";"Amount type, in a coded form.";"OBExternalStatementAmountType1Code";"ArrearsClosingBalance
AvailableBalance
AverageBalanceWhenInCredit
AverageBalanceWhenInDebit
AverageDailyBalance
BalanceTransferClosingBalance
CashClosingBalance
ClosingBalance
CreditLimit
CurrentPayment
DirectDebitPaymentDue
FSCSInsurance
MinimumPaymentDue
PreviousClosingBalance
PreviousPayment
PurchaseClosingBalance
StartingBalance
TotalAdjustments
TotalCashAdvances
TotalCharges
TotalCredits
TotalDebits
TotalPurchases";"";"";""
"StatementDateTime";"0..n";"OBReadStatement1/Data/Statement/StatementDateTime";"Set of elements used to provide details of a generic date time for the statement resource.";"OBStatementDateTime1";"";"";"";""
"DateTime";"1..1";"OBReadStatement1/Data/Statement/StatementDateTime/DateTime";"Date and time associated with the date time type.";"ISODateTime";"";"";"";""
"Type";"1..1";"OBReadStatement1/Data/Statement/StatementDateTime/Type";"Date time type, in a coded form.";"OBExternalStatementDateTimeType1Code";"BalanceTransferPromoEnd
DirectDebitDue
LastPayment
LastStatement
NextStatement
PaymentDue
PurchasePromoEnd
StatementAvailable";"";"";""
"StatementRate";"0..n";"OBReadStatement1/Data/Statement/StatementRate";"Set of elements used to provide details of a generic rate related to the statement resource.";"OBStatementRate1";"";"";"";""
"Rate";"1..1";"OBReadStatement1/Data/Statement/StatementRate/Rate";"Rate associated with the statement rate type.";"Max10Text";"";"^(-?\d{1,3}){1}(\.\d{1,4}){0,1}$";"";""
"Type";"1..1";"OBReadStatement1/Data/Statement/StatementRate/Type";"Statement rate type, in a coded form.";"OBExternalStatementRateType1Code";"AnnualBalanceTransfer
AnnualBalanceTransferAfterPromo
AnnualBalanceTransferPromo
AnnualCash
AnnualPurchase
AnnualPurchaseAfterPromo
AnnualPurchasePromo
MonthlyBalanceTransfer
MonthlyCash
MonthlyPurchase";"";"";""
"StatementValue";"0..n";"OBReadStatement1/Data/Statement/StatementValue";"Set of elements used to provide details of a generic number value related to the statement resource.";"OBStatementValue1";"";"";"";""
"Value";"1..1";"OBReadStatement1/Data/Statement/StatementValue/Value";"Value associated with the statement value type.";"Number";"";"";"18";"0"
"Type";"1..1";"OBReadStatement1/Data/Statement/StatementValue/Type";"Statement value type, in a coded form.";"OBExternalStatementValueType1Code";"AirMilesPoints
AirMilesPointsBalance
Credits
Debits
HotelPoints
HotelPointsBalance
RetailShoppingPoints
RetailShoppingPointsBalance";"";"";""
