"Composition or Attribute/Name";"Composition or Attribute/Occurrence";"Composition or Attribute/XPath";"Notes/EnhancedDefinition";"Class, data type of a composition or attribute/Name";"Class, data type of a composition or attribute/Codes";"Class, data type of a composition or attribute/Pattern";"Class, data type of a composition or attribute/TotalDigits";"Class, data type of a composition or attribute/FractionDigits"
"Amount";"1..1";"OBReadStandingOrder4/Data/StandingOrder/FirstPaymentAmount/Amount";"A number of monetary units specified in an active currency where the unit of currency is explicit and compliant with ISO 4217.";"OBActiveCurrencyAndAmount_SimpleType";"";"^\d{1,13}\.\d{1,5}$";"";""
"Currency";"1..1";"OBReadStandingOrder4/Data/StandingOrder/FirstPaymentAmount/Currency";"A code allocated to a currency by a Maintenance Agency under an international identification scheme, as described in the latest edition of the international standard ISO 4217 ""Codes for the representation of currencies and funds"".";"ActiveOrHistoricCurrencyCode";"";"^[A-Z]{3,3}$";"";""
"NextPaymentAmount";"0..1";"OBReadStandingOrder4/Data/StandingOrder/NextPaymentAmount";"The amount of the next Standing Order. This field is mandatory for Active Standing Orders.";"OBActiveOrHistoricCurrencyAndAmount";"";"";"";""
"Amount";"1..1";"OBReadStandingOrder4/Data/StandingOrder/NextPaymentAmount/Amount";"A number of monetary units specified in an active currency where the unit of currency is explicit and compliant with ISO 4217.";"OBActiveCurrencyAndAmount_SimpleType";"";"^\d{1,13}\.\d{1,5}$";"";""
"Currency";"1..1";"OBReadStandingOrder4/Data/StandingOrder/NextPaymentAmount/Currency";"A code allocated to a currency by a Maintenance Agency under an international identification scheme, as described in the latest edition of the international standard ISO 4217 ""Codes for the representation of currencies and funds"".";"ActiveOrHistoricCurrencyCode";"";"^[A-Z]{3,3}$";"";""
"FinalPaymentAmount";"0..1";"OBReadStandingOrder4/Data/StandingOrder/FinalPaymentAmount";"The amount of the final Standing Order";"OBActiveOrHistoricCurrencyAndAmount";"";"";"";""
"Amount";"1..1";"OBReadStandingOrder4/Data/StandingOrder/FinalPaymentAmount/Amount";"A number of monetary units specified in an active currency where the unit of currency is explicit and compliant with ISO 4217.";"OBActiveCurrencyAndAmount_SimpleType";"";"^\d{1,13}\.\d{1,5}$";"";""
"Currency";"1..1";"OBReadStandingOrder4/Data/StandingOrder/FinalPaymentAmount/Currency";"A code allocated to a currency by a Maintenance Agency under an international identification scheme, as described in the latest edition of the international standard ISO 4217 ""Codes for the representation of currencies and funds"".";"ActiveOrHistoricCurrencyCode";"";"^[A-Z]{3,3}$";"";""
"CreditorAgent";"0..1";"OBReadStandingOrder4/Data/StandingOrder/CreditorAgent";"Party that manages the account on behalf of the account owner, that is manages the registration and booking of entries on the account, calculates balances on the account and provides information about the account.
This is the servicer of the beneficiary account.";"OBBranchAndFinancialInstitutionIdentification4";"";"";"";""
"SchemeName";"1..1";"OBReadStandingOrder4/Data/StandingOrder/CreditorAgent/SchemeName";"Name of the identification scheme, in a coded form as published in an external list.";"Max40Text";"";"";"";""
"Identification";"1..1";"OBReadStandingOrder4/Data/StandingOrder/CreditorAgent/Identification";"Unique and unambiguous identification of the servicing institution.";"Max35Text";"";"";"";""
"CreditorAccount";"0..1";"OBReadStandingOrder4/Data/StandingOrder/CreditorAccount";"Provides the details to identify the beneficiary account.";"OBCashAccount3";"";"";"";""
"SchemeName";"1..1";"OBReadStandingOrder4/Data/StandingOrder/CreditorAccount/SchemeName";"Name of the identification scheme, in a coded form as published in an external list.";"Max40Text";"";"";"";""
"Identification";"1..1";"OBReadStandingOrder4/Data/StandingOrder/CreditorAccount/Identification";"Beneficiary account identification.";"Max256Text";"";"";"";""
"Name";"0..1";"OBReadStandingOrder4/Data/StandingOrder/CreditorAccount/Name";"Name of the account, as assigned by the account servicing institution.

Usage: The account name is the name or names of the account owner(s) represented at an account level. The account name is not the product name or the nickname of the account.";"Max70Text";"";"";"";""
"SecondaryIdentification";"0..1";"OBReadStandingOrder4/Data/StandingOrder/CreditorAccount/SecondaryIdentification";"This is secondary identification of the account, as assigned by the account servicing institution. 
This can be used by building societies to additionally identify accounts with a roll number (in addition to a sort code and account number combination).";"Max34Text";"";"";"";""
"SupplementaryData";"0..1";"OBReadStandingOrder4/Data/StandingOrder/SupplementaryData";"Additional information that can not be captured in the structured fields and/or any other specific block.";"OBSupplementaryData1";"";"";"";""
