"Composition or Attribute/Name";"Composition or Attribute/Occurrence";"Composition or Attribute/XPath";"Notes/EnhancedDefinition";"Class, data type of a composition or attribute/Name";"Class, data type of a composition or attribute/Codes";"Class, data type of a composition or attribute/Pattern";"Class, data type of a composition or attribute/TotalDigits";"Class, data type of a composition or attribute/FractionDigits"
"Identification";"0..1";"OBWriteInternationalScheduled2/Data/Initiation/CreditorAgent/Identification";"Unique and unambiguous identification of a financial institution or a branch of a financial institution.";"Max35Text";"";"";"";""
"Name";"0..1";"OBWriteInternationalScheduled2/Data/Initiation/CreditorAgent/Name";"Name by which an agent is known and which is usually used to identify that agent.";"Max140Text";"";"";"";""
"PostalAddress";"0..1";"OBWriteInternationalScheduled2/Data/Initiation/CreditorAgent/PostalAddress";"Information that locates and identifies a specific address, as defined by postal services.";"OBPostalAddress6";"";"";"";""
"AddressType";"0..1";"OBWriteInternationalScheduled2/Data/Initiation/CreditorAgent/PostalAddress/AddressType";"Identifies the nature of the postal address.";"OBAddressTypeCode";"Business
Correspondence
DeliveryTo
MailTo
POBox
Postal
Residential
Statement";"";"";""
"Department";"0..1";"OBWriteInternationalScheduled2/Data/Initiation/CreditorAgent/PostalAddress/Department";"Identification of a division of a large organisation or building.";"Max70Text";"";"";"";""
"SubDepartment";"0..1";"OBWriteInternationalScheduled2/Data/Initiation/CreditorAgent/PostalAddress/SubDepartment";"Identification of a sub-division of a large organisation or building.";"Max70Text";"";"";"";""
"StreetName";"0..1";"OBWriteInternationalScheduled2/Data/Initiation/CreditorAgent/PostalAddress/StreetName";"Name of a street or thoroughfare.";"Max70Text";"";"";"";""
"BuildingNumber";"0..1";"OBWriteInternationalScheduled2/Data/Initiation/CreditorAgent/PostalAddress/BuildingNumber";"Number that identifies the position of a building on a street.";"Max16Text";"";"";"";""
"PostCode";"0..1";"OBWriteInternationalScheduled2/Data/Initiation/CreditorAgent/PostalAddress/PostCode";"Identifier consisting of a group of letters and/or numbers that is added to a postal address to assist the sorting of mail.";"Max16Text";"";"";"";""
"TownName";"0..1";"OBWriteInternationalScheduled2/Data/Initiation/CreditorAgent/PostalAddress/TownName";"Name of a built-up area, with defined boundaries, and a local government.";"Max35Text";"";"";"";""
"CountrySubDivision";"0..1";"OBWriteInternationalScheduled2/Data/Initiation/CreditorAgent/PostalAddress/CountrySubDivision";"Identifies a subdivision of a country such as state, region, county.";"Max35Text";"";"";"";""
"Country";"0..1";"OBWriteInternationalScheduled2/Data/Initiation/CreditorAgent/PostalAddress/Country";"Nation with its own government.";"CountryCode";"";"^[A-Z]{2,2}$";"";""
"AddressLine";"0..7";"OBWriteInternationalScheduled2/Data/Initiation/CreditorAgent/PostalAddress/AddressLine";"Information that locates and identifies a specific address, as defined by postal services, presented in free format text.";"Max70Text";"";"";"";""
"CreditorAccount";"1..1";"OBWriteInternationalScheduled2/Data/Initiation/CreditorAccount";"Unambiguous identification of the account of the creditor to which a credit entry will be posted as a result of the payment transaction.";"OBCashAccountCreditor1";"";"";"";""
"SchemeName";"1..1";"OBWriteInternationalScheduled2/Data/Initiation/CreditorAccount/SchemeName";"Name of the identification scheme, in a coded form as published in an external list.";"OBExternalAccountIdentification3Code";"IBAN
Other
PAN
SortCodeAccountNumber";"";"";""
"Identification";"1..1";"OBWriteInternationalScheduled2/Data/Initiation/CreditorAccount/Identification";"Identification assigned by an institution to identify an account. This identification is known by the account owner.";"Max34Text";"";"";"";""
"Name";"1..1";"OBWriteInternationalScheduled2/Data/Initiation/CreditorAccount/Name";"Name of the account, as assigned by the account servicing institution, in agreement with the account owner in order to provide an additional means of identification of the account.

Usage: The account name is different from the account owner name. The account name is used in certain user communities to provide a means of identifying the account, in addition to the account owner's identity and the account number.
OB: No name validation is expected for confirmation of payee.";"Max70Text";"";"";"";""
"SecondaryIdentification";"0..1";"OBWriteInternationalScheduled2/Data/Initiation/CreditorAccount/SecondaryIdentification";"This is secondary identification of the account, as assigned by the account servicing institution. 
This can be used by building societies to additionally identify accounts with a roll number (in addition to a sort code and account number combination).";"Max34Text";"";"";"";""
"Creditor";"0..1";"OBWriteInternationalScheduled2/Data/Initiation/Creditor";"Party to which an amount of money is due.";"OBPartyIdentification43";"";"";"";""
"Name";"0..1";"OBWriteInternationalScheduled2/Data/Initiation/Creditor/Name";"Name by which a party is known and which is usually used to identify that party.";"Max140Text";"";"";"";""
"PostalAddress";"0..1";"OBWriteInternationalScheduled2/Data/Initiation/Creditor/PostalAddress";"Information that locates and identifies a specific address, as defined by postal services.";"OBPostalAddress6";"";"";"";""
"AddressType";"0..1";"OBWriteInternationalScheduled2/Data/Initiation/Creditor/PostalAddress/AddressType";"Identifies the nature of the postal address.";"OBAddressTypeCode";"Business
Correspondence
DeliveryTo
MailTo
POBox
Postal
Residential
Statement";"";"";""
"Department";"0..1";"OBWriteInternationalScheduled2/Data/Initiation/Creditor/PostalAddress/Department";"Identification of a division of a large organisation or building.";"Max70Text";"";"";"";""
"SubDepartment";"0..1";"OBWriteInternationalScheduled2/Data/Initiation/Creditor/PostalAddress/SubDepartment";"Identification of a sub-division of a large organisation or building.";"Max70Text";"";"";"";""
"StreetName";"0..1";"OBWriteInternationalScheduled2/Data/Initiation/Creditor/PostalAddress/StreetName";"Name of a street or thoroughfare.";"Max70Text";"";"";"";""
"BuildingNumber";"0..1";"OBWriteInternationalScheduled2/Data/Initiation/Creditor/PostalAddress/BuildingNumber";"Number that identifies the position of a building on a street.";"Max16Text";"";"";"";""
"PostCode";"0..1";"OBWriteInternationalScheduled2/Data/Initiation/Creditor/PostalAddress/PostCode";"Identifier consisting of a group of letters and/or numbers that is added to a postal address to assist the sorting of mail.";"Max16Text";"";"";"";""
"TownName";"0..1";"OBWriteInternationalScheduled2/Data/Initiation/Creditor/PostalAddress/TownName";"Name of a built-up area, with defined boundaries, and a local government.";"Max35Text";"";"";"";""
"CountrySubDivision";"0..1";"OBWriteInternationalScheduled2/Data/Initiation/Creditor/PostalAddress/CountrySubDivision";"Identifies a subdivision of a country such as state, region, county.";"Max35Text";"";"";"";""
"Country";"0..1";"OBWriteInternationalScheduled2/Data/Initiation/Creditor/PostalAddress/Country";"Nation with its own government.";"CountryCode";"";"^[A-Z]{2,2}$";"";""
"AddressLine";"0..7";"OBWriteInternationalScheduled2/Data/Initiation/Creditor/PostalAddress/AddressLine";"Information that locates and identifies a specific address, as defined by postal services, presented in free format text.";"Max70Text";"";"";"";""
"ExchangeRateInformation";"0..1";"OBWriteInternationalScheduled2/Data/Initiation/ExchangeRateInformation";"Provides details on the currency exchange rate and contract.";"OBExchangeRate1";"";"";"";""
"UnitCurrency";"1..1";"OBWriteInternationalScheduled2/Data/Initiation/ExchangeRateInformation/UnitCurrency";"Currency in which the rate of exchange is expressed in a currency exchange. In the example 1GBP = xxxCUR, the unit currency is GBP.";"ActiveOrHistoricCurrencyCode";"";"^[A-Z]{3,3}$";"";""
"ExchangeRate";"0..1";"OBWriteInternationalScheduled2/Data/Initiation/ExchangeRateInformation/ExchangeRate";"The factor used for conversion of an amount from one currency to another. This reflects the price at which one currency was bought with another currency.";"BaseOneRate";"";"";"11";"10"
"RateType";"1..1";"OBWriteInternationalScheduled2/Data/Initiation/ExchangeRateInformation/RateType";"Specifies the type used to complete the currency exchange.";"OBExchangeRateType2Code";"Actual
Agreed
Indicative";"";"";""
"ContractIdentification";"0..1";"OBWriteInternationalScheduled2/Data/Initiation/ExchangeRateInformation/ContractIdentification";"Unique and unambiguous reference to the foreign exchange contract agreed between the initiating party/creditor and the debtor agent.";"Max256Text";"";"";"";""
"RemittanceInformation";"0..1";"OBWriteInternationalScheduled2/Data/Initiation/RemittanceInformation";"Information supplied to enable the matching of an entry with the items that the transfer is intended to settle, such as commercial invoices in an accounts' receivable system.";"OBRemittanceInformation1";"";"";"";""
"Unstructured";"0..1";"OBWriteInternationalScheduled2/Data/Initiation/RemittanceInformation/Unstructured";"Information supplied to enable the matching/reconciliation of an entry with the items that the payment is intended to settle, such as commercial invoices in an accounts' receivable system, in an unstructured form.";"Max140Text";"";"";"";""
"Reference";"0..1";"OBWriteInternationalScheduled2/Data/Initiation/RemittanceInformation/Reference";"Unique reference, as assigned by the creditor, to unambiguously refer to the payment transaction.

Usage: If available, the initiating party should provide this reference in the structured remittance information, to enable reconciliation by the creditor upon receipt of the amount of money.

If the business context requires the use of a creditor reference or a payment remit identification, and only one identifier can be passed through the end-to-end chain, the creditor's reference or payment remittance identification should be quoted in the end-to-end transaction identification.
OB: The Faster Payments Scheme can only accept 18 characters for the ReferenceInformation field - which is where this ISO field will be mapped.";"Max35Text";"";"";"";""
"Risk";"1..1";"OBWriteInternationalScheduled2/Risk";"The Risk section is sent by the initiating party to the ASPSP. It is used to specify additional details for risk scoring for Payments.";"OBRisk1";"";"";"";""
"PaymentContextCode";"0..1";"OBWriteInternationalScheduled2/Risk/PaymentContextCode";"Specifies the payment context";"OBExternalPaymentContext1Code";"BillPayment
EcommerceGoods
EcommerceServices
Other
PartyToParty";"";"";""
"MerchantCategoryCode";"0..1";"OBWriteInternationalScheduled2/Risk/MerchantCategoryCode";"Category code conform to ISO 18245, related to the type of services or goods the merchant provides for the transaction.";"Min3Max4Text";"";"";"";""
"MerchantCustomerIdentification";"0..1";"OBWriteInternationalScheduled2/Risk/MerchantCustomerIdentification";"The unique customer identifier of the PSU with the merchant.";"Max70Text";"";"";"";""
"DeliveryAddress";"0..1";"OBWriteInternationalScheduled2/Risk/DeliveryAddress";"Information that locates and identifies a specific address, as defined by postal services or in free format text.";"PostalAddress18";"";"";"";""
"AddressLine";"0..2";"OBWriteInternationalScheduled2/Risk/DeliveryAddress/AddressLine";"Information that locates and identifies a specific address, as defined by postal services, that is presented in free format text.";"Max70Text";"";"";"";""
"StreetName";"0..1";"OBWriteInternationalScheduled2/Risk/DeliveryAddress/StreetName";"Name of a street or thoroughfare.";"Max70Text";"";"";"";""
"BuildingNumber";"0..1";"OBWriteInternationalScheduled2/Risk/DeliveryAddress/BuildingNumber";"Number that identifies the position of a building on a street.";"Max16Text";"";"";"";""
"PostCode";"0..1";"OBWriteInternationalScheduled2/Risk/DeliveryAddress/PostCode";"Identifier consisting of a group of letters and/or numbers that is added to a postal address to assist the sorting of mail.";"Max16Text";"";"";"";""
"TownName";"1..1";"OBWriteInternationalScheduled2/Risk/DeliveryAddress/TownName";"Name of a built-up area, with defined boundaries, and a local government.";"Max35Text";"";"";"";""
"CountrySubDivision";"0..2";"OBWriteInternationalScheduled2/Risk/DeliveryAddress/CountrySubDivision";"Identifies a subdivision of a country, for instance state, region, county.";"Max35Text";"";"";"";""
"Country";"1..1";"OBWriteInternationalScheduled2/Risk/DeliveryAddress/Country";"Nation with its own government, occupying a particular territory.";"CountryCode";"";"^[A-Z]{2,2}$";"";""
