"Composition or Attribute/Name";"Composition or Attribute/Occurrence";"Composition or Attribute/XPath";"Notes/EnhancedDefinition";"Class, data type of a composition or attribute/Name";"Class, data type of a composition or attribute/Codes";"Class, data type of a composition or attribute/Pattern";"Class, data type of a composition or attribute/TotalDigits";"Class, data type of a composition or attribute/FractionDigits"
"ValueDateTime";"0..1";"OBReadTransaction2/Data/Transaction/ValueDateTime";"Date and time at which assets become available to the account owner in case of a credit entry, or cease to be available to the account owner in case of a debit transaction entry.
Usage: If transaction entry status is pending and value date is present, then the value date refers to an expected/requested value date.
For transaction entries subject to availability/float and for which availability information is provided, the value date must not be used. In this case the availability component identifies the number of availability days.";"ISODateTime";"";"";"";""
"TransactionInformation";"0..1";"OBReadTransaction2/Data/Transaction/TransactionInformation";"Further details of the transaction. 
This is the transaction narrative, which is unstructured text.";"Max500Text";"";"";"";""
"AddressLine";"0..1";"OBReadTransaction2/Data/Transaction/AddressLine";"Information that locates and identifies a specific address for a transaction entry, that is presented in free format text.";"Max70Text";"";"";"";""
"BankTransactionCode";"0..1";"OBReadTransaction2/Data/Transaction/BankTransactionCode";"Set of elements used to fully identify the type of underlying transaction resulting in an entry.";"OBBankTransactionCodeStructure1";"";"";"";""
"Code";"1..1";"OBReadTransaction2/Data/Transaction/BankTransactionCode/Code";"Specifies the family within a domain.";"ExternalBankTransactionFamily1Code";"";"";"";""
"SubCode";"1..1";"OBReadTransaction2/Data/Transaction/BankTransactionCode/SubCode";"Specifies the sub-product family within a specific family.";"ExternalBankTransactionSubFamily1Code";"";"";"";""
"ProprietaryBankTransactionCode";"0..1";"OBReadTransaction2/Data/Transaction/ProprietaryBankTransactionCode";"Set of elements to fully identify a proprietary bank transaction code.";"ProprietaryBankTransactionCodeStructure1";"";"";"";""
"Code";"1..1";"OBReadTransaction2/Data/Transaction/ProprietaryBankTransactionCode/Code";"Proprietary bank transaction code to identify the underlying transaction.";"Max35Text";"";"";"";""
"Issuer";"0..1";"OBReadTransaction2/Data/Transaction/ProprietaryBankTransactionCode/Issuer";"Identification of the issuer of the proprietary bank transaction code.";"Max35Text";"";"";"";""
"Balance";"0..1";"OBReadTransaction2/Data/Transaction/Balance";"Set of elements used to define the balance as a numerical representation of the net increases and decreases in an account after a transaction entry is applied to the account.";"OBTransactionCashBalance";"";"";"";""
"Amount";"1..1";"OBReadTransaction2/Data/Transaction/Balance/Amount";"Amount of money of the cash balance after a transaction entry is applied to the account..";"ActiveOrHistoricCurrencyAndAmount";"";"";"18";"5"
"Currency";"1..1";"OBReadTransaction2/Data/Transaction/Balance/Amount/Currency";"A code allocated to a currency by a Maintenance Agency under an international identification scheme, as described in the latest edition of the international standard ISO 4217 ""Codes for the representation of currencies and funds"".";"ActiveOrHistoricCurrencyCode";"";"^[A-Z]{3,3}$";"";""
"CreditDebitIndicator";"1..1";"OBReadTransaction2/Data/Transaction/Balance/CreditDebitIndicator";"Indicates whether the balance is a credit or a debit balance. 
Usage: A zero balance is considered to be a credit balance.";"OBCreditDebitCode";"Credit
Debit";"";"";""
"Type";"1..1";"OBReadTransaction2/Data/Transaction/Balance/Type";"Balance type, in a coded form.";"OBBalanceType1Code";"ClosingAvailable
ClosingBooked
Expected
ForwardAvailable
Information
InterimAvailable
InterimBooked
OpeningAvailable
OpeningBooked
PreviouslyClosedBooked";"";"";""
"MerchantDetails";"0..1";"OBReadTransaction2/Data/Transaction/MerchantDetails";"Details of the merchant involved in the transaction.";"OBMerchantDetails1";"";"";"";""
"MerchantName";"0..1";"OBReadTransaction2/Data/Transaction/MerchantDetails/MerchantName";"Name by which the merchant is known.";"Max350Text";"";"";"";""
"MerchantCategoryCode";"0..1";"OBReadTransaction2/Data/Transaction/MerchantDetails/MerchantCategoryCode";"Category code conform to ISO 18245, related to the type of services or goods the merchant provides for the transaction.";"Min3Max4Text";"";"";"";""
"EquivalentAmount";"0..1";"OBReadTransaction2/Data/Transaction/EquivalentAmount";"Amount of money to be transferred between the debtor and creditor, before deduction of charges, expressed in the currency of the debtor's account, and to be transferred into a different currency. 

Usage : Currency of the amount is expressed in the currency of the debtor's account, but the amount to be transferred is in another currency. The debtor agent will convert the amount and currency to the to be transferred amount and currency, eg, 'pay equivalent of 100000 EUR in JPY'(and account is in EUR).";"EquivalentAmount";"";"";"";""
"Amount";"1..1";"OBReadTransaction2/Data/Transaction/EquivalentAmount/Amount";"Amount of money to be transferred between debtor and creditor, before deduction of charges, expressed in the currency of the debtor's account, and to be transferred in a different currency. 

Usage : Currency of the amount is expressed in the currency of the debtor's account, but the amount to be transferred is in another currency. The first agent will convert the amount and currency to the to be transferred amount and currency, eg, 'pay equivalent of 100000 EUR in JPY'(and account is in EUR).";"CurrencyAndAmount";"";"";"18";"5"
"Currency";"1..1";"OBReadTransaction2/Data/Transaction/EquivalentAmount/Amount/Currency";"Code allocated to a currency, by a maintenance agency, under an international identification scheme as described in the latest edition of the international standard ISO 4217 ""Codes for the representation of currencies and funds"". Valid currency codes are registered with the ISO 4217 Maintenance Agency, and consist of three contiguous letters.";"CurrencyCode";"";"^[A-Z]{3,3}$";"";""
"CurrencyOfTransfer";"1..1";"OBReadTransaction2/Data/Transaction/EquivalentAmount/CurrencyOfTransfer";"Specifies the currency of the to be transferred amount, which is different from the currency of the debtor's account.";"CurrencyCode";"";"^[A-Z]{3,3}$";"";""
"CreditorAgent";"0..1";"OBReadTransaction2/Data/Transaction/CreditorAgent";"Financial institution servicing an account for the creditor.";"OBBranchAndFinancialInstitutionIdentification2";"";"";"";""
"SchemeName";"1..1";"OBReadTransaction2/Data/Transaction/CreditorAgent/SchemeName";"Name of the identification scheme, in a coded form as published in an external list.";"OBExternalFinancialInstitutionIdentification2Code";"BICFI";"";"";""
"Identification";"1..1";"OBReadTransaction2/Data/Transaction/CreditorAgent/Identification";"Unique and unambiguous identification of a financial institution or a branch of a financial institution.";"Max35Text";"";"";"";""
"CreditorAccount";"0..1";"OBReadTransaction2/Data/Transaction/CreditorAccount";"Unambiguous identification of the account of the creditor, in the case of a debit transaction.";"OBCashAccount2";"";"";"";""
"SchemeName";"1..1";"OBReadTransaction2/Data/Transaction/CreditorAccount/SchemeName";"Name of the identification scheme, in a coded form as published in an external list.";"OBExternalAccountIdentification3Code";"IBAN
PAN
SortCodeAccountNumber";"";"";""
"Identification";"1..1";"OBReadTransaction2/Data/Transaction/CreditorAccount/Identification";"Identification assigned by an institution to identify an account. This identification is known by the account owner.";"Max34Text";"";"";"";""
"Name";"0..1";"OBReadTransaction2/Data/Transaction/CreditorAccount/Name";"Name of the account, as assigned by the account servicing institution, in agreement with the account owner in order to provide an additional means of identification of the account.

Usage: The account name is different from the account owner name. The account name is used in certain user communities to provide a means of identifying the account, in addition to the account owner's identity and the account number.
OB: No name validation is expected for confirmation of payee.";"Max70Text";"";"";"";""
"SecondaryIdentification";"0..1";"OBReadTransaction2/Data/Transaction/CreditorAccount/SecondaryIdentification";"This is secondary identification of the account, as assigned by the account servicing institution. 
This can be used by building societies to additionally identify accounts with a roll number (in addition to a sort code and account number combination).";"Max34Text";"";"";"";""
"DebtorAgent";"0..1";"OBReadTransaction2/Data/Transaction/DebtorAgent";"Financial institution servicing an account for the debtor.";"OBBranchAndFinancialInstitutionIdentification2";"";"";"";""
"SchemeName";"1..1";"OBReadTransaction2/Data/Transaction/DebtorAgent/SchemeName";"Name of the identification scheme, in a coded form as published in an external list.";"OBExternalFinancialInstitutionIdentification2Code";"BICFI";"";"";""
"Identification";"1..1";"OBReadTransaction2/Data/Transaction/DebtorAgent/Identification";"Unique and unambiguous identification of a financial institution or a branch of a financial institution.";"Max35Text";"";"";"";""
"DebtorAccount";"0..1";"OBReadTransaction2/Data/Transaction/DebtorAccount";"Unambiguous identification of the account of the debtor, in the case of a crebit transaction.";"OBCashAccount2";"";"";"";""
"SchemeName";"1..1";"OBReadTransaction2/Data/Transaction/DebtorAccount/SchemeName";"Name of the identification scheme, in a coded form as published in an external list.";"OBExternalAccountIdentification3Code";"IBAN
PAN
SortCodeAccountNumber";"";"";""
"Identification";"1..1";"OBReadTransaction2/Data/Transaction/DebtorAccount/Identification";"Identification assigned by an institution to identify an account. This identification is known by the account owner.";"Max34Text";"";"";"";""
"Name";"0..1";"OBReadTransaction2/Data/Transaction/DebtorAccount/Name";"Name of the account, as assigned by the account servicing institution, in agreement with the account owner in order to provide an additional means of identification of the account.

Usage: The account name is different from the account owner name. The account name is used in certain user communities to provide a means of identifying the account, in addition to the account owner's identity and the account number.";"Max70Text";"";"";"";""
"SecondaryIdentification";"0..1";"OBReadTransaction2/Data/Transaction/DebtorAccount/SecondaryIdentification";"This is secondary identification of the account, as assigned by the account servicing institution. 
This can be used by building societies to additionally identify accounts with a roll number (in addition to a sort code and account number combination).";"Max34Text";"";"";"";""
"CardInstrument";"0..1";"OBReadTransaction2/Data/Transaction/CardInstrument";"Set of elements to describe the card instrument used in the transaction.";"OBTransactionCardInstrument1";"";"";"";""
"CardSchemeName";"1..1";"OBReadTransaction2/Data/Transaction/CardInstrument/CardSchemeName";"Name of the card scheme.";"OBExternalCardSchemeType1Code";"AmericanExpress
Diners
Discover
MasterCard
VISA";"";"";""
"AuthorisationType";"0..1";"OBReadTransaction2/Data/Transaction/CardInstrument/AuthorisationType";"The card authorisation type.";"OBExternalCardAuthorisationType1Code";"Contactless
None
PIN";"";"";""
"Name";"0..1";"OBReadTransaction2/Data/Transaction/CardInstrument/Name";"Name of the cardholder using the card instrument.";"Max70Text";"";"";"";""
"Identification";"0..1";"OBReadTransaction2/Data/Transaction/CardInstrument/Identification";"Identification assigned by an institution to identify the card instrument used in the transaction. This identification is known by the account owner, and may be masked.";"Max34Text";"";"";"";""
